n°_evaluation,fitness,precision,f-measure,time
0,,,,0.015625
1,0.6153846153846154,0.6666666666666667,0.64,0.015625
2,0.5909090909090908,0.3846153846153846,0.46594982078853037,0.015625
3,0.7692307692307692,0.5,0.6060606060606061,0.015625
4,0.75,1.0,0.8571428571428571,0.0
5,0.47619047619047616,0.7142857142857143,0.5714285714285714,0.0625
6,0.8888888888888888,0.6666666666666667,0.761904761904762,0.0
7,0.625,0.7142857142857143,0.6666666666666666,0.0
8,0.65,0.5,0.5652173913043479,0.03125
9,0.6875,0.0,0.0,0.0
10,0.5333333333333333,0.6666666666666667,0.5925925925925926,0.015625
11,0.5,0.0,0.0,0.015625
12,0.5789473684210527,0.5,0.5365853658536586,0.015625
13,0.6111111111111112,0.41666666666666663,0.4954954954954956,0.015625
14,0.5,0.0,0.0,0.015625
15,0.7647058823529411,0.5333333333333333,0.6283987915407855,0.0
16,1.0,0.5555555555555556,0.7142857142857143,0.015625
17,0.6153846153846154,0.6666666666666667,0.64,0.015625
18,0.9166666666666666,0.5,0.6470588235294118,0.0
19,0.42307692307692313,0.5,0.45833333333333337,0.03125
20,0.5789473684210527,0.625,0.6010928961748634,0.0
21,0.7647058823529411,0.47058823529411764,0.5826330532212884,0.015625
22,0.5263157894736843,0.46153846153846156,0.49180327868852464,0.015625
23,0.75,1.0,0.8571428571428571,0.0
24,0.7272727272727273,0.6666666666666667,0.6956521739130436,0.015625
25,1.0,0.38095238095238093,0.5517241379310345,0.0
26,0.5294117647058824,0.5,0.5142857142857143,0.015625
27,1.0,0.5333333333333333,0.6956521739130436,0.015625
28,1.0,0.5,0.6666666666666666,0.015625
29,0.6470588235294117,0.4444444444444444,0.5269461077844311,0.015625
30,0.75,0.0,0.0,0.0
31,0.7272727272727273,0.375,0.49484536082474223,0.015625
32,1.0,1.0,1.0,0.0
33,1.0,0.5555555555555556,0.7142857142857143,0.0
34,0.7647058823529411,0.375,0.5032258064516129,0.03125
35,0.8888888888888888,0.4285714285714286,0.5783132530120483,0.0
36,0.8181818181818181,0.6666666666666667,0.7346938775510204,0.015625
37,0.85,0.2962962962962963,0.43941841680129234,0.0625
38,0.7333333333333334,0.4,0.5176470588235296,0.015625
39,0.55,0.5,0.5238095238095238,0.015625
40,0.7058823529411764,0.3846153846153846,0.4979253112033194,0.015625
41,0.8125,0.31999999999999995,0.4591611479028697,0.015625
42,0.6842105263157895,0.5,0.5777777777777778,0.03125
43,1.0,0.36363636363636365,0.5333333333333333,0.0
44,1.0,0.5,0.6666666666666666,0.015625
45,0.8823529411764706,0.4,0.5504587155963303,0.015625
46,0.9166666666666666,0.36363636363636365,0.5207100591715976,0.015625
47,0.8888888888888888,0.46153846153846156,0.6075949367088607,0.0
48,0.5625,0.5,0.5294117647058824,0.015625
49,0.8333333333333334,0.36363636363636365,0.5063291139240507,0.03125
50,0.75,0.4285714285714286,0.5454545454545455,0.0
51,0.6875,0.5,0.5789473684210527,0.015625
52,0.6875,0.0,0.0,0.015625
53,0.7857142857142857,0.3529411764705882,0.48708487084870844,0.015625
54,0.8888888888888888,0.5454545454545454,0.676056338028169,0.015625
55,0.8461538461538461,0.75,0.7951807228915662,0.015625
56,0.32352941176470584,0.75,0.4520547945205479,0.03125
57,0.4545454545454546,0.6666666666666667,0.5405405405405406,0.015625
58,0.5263157894736843,0.75,0.6185567010309279,0.015625
59,0.4,0.75,0.5217391304347827,0.03125
60,0.41666666666666663,0.75,0.5357142857142858,0.046875
61,0.8,0.75,0.7741935483870969,0.015625
62,0.5263157894736843,0.75,0.6185567010309279,0.015625
63,0.6153846153846154,0.75,0.676056338028169,0.0
64,0.8,0.75,0.7741935483870969,0.015625
65,0.6153846153846154,0.6666666666666667,0.64,0.0
66,0.7272727272727273,0.0,0.0,0.015625
67,0.45833333333333337,0.75,0.5689655172413792,0.015625
68,0.6666666666666667,0.8333333333333334,0.7407407407407409,0.015625
69,0.6,0.6666666666666667,0.6315789473684211,0.015625
70,0.8,0.75,0.7741935483870969,0.0
71,0.8,0.6666666666666667,0.7272727272727274,0.0
72,0.6923076923076923,0.6666666666666667,0.6792452830188679,0.015625
73,0.9090909090909091,0.8571428571428572,0.8823529411764706,0.015625
74,0.3846153846153846,0.75,0.5084745762711864,0.015625
75,0.47058823529411764,0.5,0.48484848484848486,0.015625
76,0.5263157894736843,0.75,0.6185567010309279,0.015625
77,0.41666666666666663,0.75,0.5357142857142858,0.03125
78,0.6666666666666667,0.75,0.7058823529411764,0.0
79,0.6190476190476191,0.8888888888888888,0.7298245614035087,0.015625
80,0.625,0.75,0.6818181818181818,0.015625
81,0.5263157894736843,0.75,0.6185567010309279,0.015625
82,0.47619047619047616,0.75,0.58252427184466,0.015625
83,0.4285714285714286,0.5,0.46153846153846156,0.015625
84,0.5555555555555556,0.75,0.6382978723404256,0.015625
85,0.5,0.75,0.6,0.015625
86,1.0,0.8888888888888888,0.9411764705882353,0.0
87,0.5,0.6666666666666667,0.5714285714285715,0.03125
88,0.5555555555555556,0.75,0.6382978723404256,0.015625
89,0.5882352941176471,0.8333333333333334,0.6896551724137931,0.015625
90,0.8461538461538461,0.6666666666666667,0.7457627118644069,0.0
91,0.6111111111111112,0.75,0.6734693877551021,0.046875
92,0.5,0.0,0.0,0.015625
93,0.5,0.5,0.5,0.015625
94,0.2702702702702703,0.6666666666666667,0.38461538461538464,0.03125
95,0.8,0.6666666666666667,0.7272727272727274,0.015625
96,0.8461538461538461,0.8333333333333334,0.8396946564885497,0.0
97,0.4193548387096774,0.8888888888888888,0.5698630136986301,0.046875
98,0.5555555555555556,0.75,0.6382978723404256,0.015625
99,0.5,0.75,0.6,0.015625
100,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0
101,0.5882352941176471,0.75,0.6593406593406592,0.015625
