n°_evaluation,fitness,precision,f-measure,time
0,,,,0.0
1,1.0,0.1333333333333333,0.23529411764705876,0.03125
2,1.0,0.11805555555555558,0.21118012422360252,0.046875
3,1.0,0.12698412698412698,0.22535211267605632,0.015625
4,1.0,0.16666666666666663,0.2857142857142857,0.0
5,0.9473684210526316,0.11965811965811968,0.21247892074198993,0.0625
6,1.0,0.14814814814814814,0.25806451612903225,0.0
7,0.9285714285714286,0.11111111111111116,0.19847328244274817,0.046875
8,1.0,0.11904761904761907,0.21276595744680854,0.078125
9,0.8571428571428572,0.0,0.0,0.015625
10,1.0,0.12658227848101267,0.22471910112359553,0.015625
11,0.8333333333333334,0.0,0.0,0.046875
12,1.0,0.11965811965811968,0.2137404580152672,0.03125
13,1.0,0.12037037037037035,0.21487603305785122,0.03125
14,0.9,0.0,0.0,0.046875
15,1.0,0.12121212121212122,0.21621621621621626,0.03125
16,1.0,0.13888888888888884,0.24390243902439016,0.015625
17,1.0,0.1333333333333333,0.23529411764705876,0.015625
18,1.0,0.12962962962962965,0.22950819672131148,0.015625
19,0.9583333333333334,0.11695906432748537,0.20847496034443688,0.09375
20,1.0,0.11965811965811968,0.2137404580152672,0.0625
21,1.0,0.12121212121212122,0.21621621621621626,0.03125
22,1.0,0.11965811965811968,0.2137404580152672,0.046875
23,1.0,0.16666666666666663,0.2857142857142857,0.0
24,1.0,0.1428571428571429,0.2500000000000001,0.015625
25,1.0,0.12698412698412698,0.22535211267605632,0.015625
26,1.0,0.12244897959183676,0.2181818181818182,0.03125
27,1.0,0.12698412698412698,0.22535211267605632,0.015625
28,1.0,0.13888888888888884,0.24390243902439016,0.015625
29,1.0,0.11965811965811968,0.2137404580152672,0.03125
30,0.75,0.0,0.0,0.0
31,1.0,0.12698412698412698,0.22535211267605632,0.015625
32,1.0,0.16666666666666663,0.2857142857142857,0.015625
33,1.0,0.13888888888888884,0.24390243902439016,0.0
34,1.0,0.11965811965811968,0.2137404580152672,0.046875
35,1.0,0.1333333333333333,0.23529411764705876,0.015625
36,1.0,0.1333333333333333,0.23529411764705876,0.015625
37,1.0,0.11805555555555558,0.21118012422360252,0.046875
38,0.9333333333333333,0.11111111111111116,0.19858156028368804,0.078125
39,0.95,0.11851851851851847,0.21074523396880407,0.0625
40,0.9411764705882353,0.12037037037037035,0.21344279117496145,0.046875
41,1.0,0.12037037037037035,0.21487603305785122,0.03125
42,1.0,0.11851851851851847,0.21192052980132442,0.046875
43,1.0,0.12698412698412698,0.22535211267605632,0.015625
44,1.0,0.12698412698412698,0.22535211267605632,0.015625
45,1.0,0.11965811965811968,0.2137404580152672,0.078125
46,1.0,0.125,0.2222222222222222,0.015625
47,1.0,0.1333333333333333,0.23529411764705876,0.015625
48,1.0,0.12149532710280375,0.21666666666666667,0.03125
49,1.0,0.11904761904761907,0.21276595744680854,0.046875
50,1.0,0.13888888888888884,0.24390243902439016,0.0
51,0.9375,0.12121212121212122,0.21466905187835425,0.046875
52,0.9375,0.0,0.0,0.015625
53,1.0,0.12222222222222223,0.21782178217821785,0.015625
54,1.0,0.1333333333333333,0.23529411764705876,0.015625
55,1.0,0.12698412698412698,0.22535211267605632,0.015625
56,0.96875,0.1152263374485597,0.20595562937477763,0.203125
57,0.95,0.12213740458015265,0.21644713421146314,0.0625
58,1.0,0.11965811965811968,0.2137404580152672,0.046875
59,1.0,0.11695906432748537,0.2094240837696335,0.0625
60,1.0,0.11728395061728392,0.2099447513812154,0.0625
61,1.0,0.13888888888888884,0.24390243902439016,0.015625
62,1.0,0.11965811965811968,0.2137404580152672,0.078125
63,1.0,0.12698412698412698,0.22535211267605632,0.015625
64,1.0,0.13888888888888884,0.24390243902439016,0.015625
65,1.0,0.1333333333333333,0.23529411764705876,0.0
66,0.8888888888888888,0.0,0.0,0.015625
67,1.0,0.11728395061728392,0.2099447513812154,0.0625
68,1.0,0.12345679012345678,0.21978021978021975,0.015625
69,1.0,0.1282051282051282,0.22727272727272727,0.03125
70,1.0,0.13888888888888884,0.24390243902439016,0.0
71,1.0,0.1470588235294118,0.2564102564102565,0.015625
72,1.0,0.1333333333333333,0.23529411764705876,0.015625
73,1.0,0.1333333333333333,0.23529411764705876,0.015625
74,0.9583333333333334,0.11695906432748537,0.20847496034443688,0.125
75,0.9333333333333333,0.12222222222222223,0.21614035087719302,0.03125
76,1.0,0.11965811965811968,0.2137404580152672,0.046875
77,0.9545454545454546,0.11764705882352944,0.20947630922693272,0.078125
78,1.0,0.12962962962962965,0.22950819672131148,0.015625
79,1.0,0.11851851851851847,0.21192052980132442,0.046875
80,1.0,0.12222222222222223,0.21782178217821785,0.015625
81,1.0,0.11965811965811968,0.2137404580152672,0.078125
82,0.9473684210526316,0.11904761904761907,0.21151586368977676,0.0625
83,1.0,0.125,0.2222222222222222,0.015625
84,1.0,0.12037037037037035,0.21487603305785122,0.03125
85,1.0,0.11805555555555558,0.21118012422360252,0.046875
86,1.0,0.12698412698412698,0.22535211267605632,0.015625
87,1.0,0.12195121951219512,0.21739130434782605,0.046875
88,1.0,0.12037037037037035,0.21487603305785122,0.03125
89,1.0,0.12121212121212122,0.21621621621621626,0.03125
90,1.0,0.1333333333333333,0.23529411764705876,0.015625
91,0.9375,0.12121212121212122,0.21466905187835425,0.078125
92,0.8888888888888888,0.0,0.0,0.03125
93,1.0,0.12962962962962965,0.22950819672131148,0.015625
94,0.9428571428571428,0.1123595505617978,0.20079099482811083,0.171875
95,1.0,0.1470588235294118,0.2564102564102565,0.015625
96,1.0,0.12698412698412698,0.22535211267605632,0.015625
97,1.0,0.11555555555555552,0.2071713147410358,0.140625
98,0.9375,0.11111111111111116,0.1986754966887418,0.046875
99,0.9444444444444444,0.11965811965811968,0.21240517626059796,0.046875
100,1.0,0.12962962962962965,0.22950819672131148,0.015625
101,0.9333333333333333,0.12222222222222223,0.21614035087719302,0.046875
102,1.0,0.11904761904761907,0.21276595744680854,0.046875
103,1.0,0.12345679012345678,0.21978021978021975,0.015625
104,0.9473684210526316,0.11904761904761907,0.21151586368977676,0.109375
105,1.0,0.12222222222222223,0.21782178217821785,0.015625
106,1.0,0.1166666666666667,0.20895522388059706,0.078125
107,0.7894736842105263,0.0,0.0,0.046875
108,1.0,0.12222222222222223,0.21782178217821785,0.015625
109,1.0,0.1164021164021164,0.2085308056872038,0.109375
110,1.0,0.12037037037037035,0.21487603305785122,0.03125
111,1.0,0.11965811965811968,0.2137404580152672,0.046875
112,0.95,0.11851851851851847,0.21074523396880407,0.0625
113,1.0,0.12037037037037035,0.21487603305785122,0.03125
114,0.8571428571428572,0.0,0.0,0.015625
115,1.0,0.12121212121212122,0.21621621621621626,0.03125
