n°_evaluation,fitness,precision,f-measure,time
0,,,,0.0
1,0.6363636363636364,0.6666666666666667,0.6511627906976745,0.0
2,0.5,0.5555555555555556,0.5263157894736842,0.03125
3,0.6363636363636364,0.7142857142857143,0.673076923076923,0.0
4,1.0,1.0,1.0,0.0
5,0.3157894736842105,0.5,0.3870967741935484,0.015625
6,0.8571428571428572,0.6666666666666667,0.75,0.015625
7,0.4285714285714286,0.5,0.46153846153846156,0.0
8,0.5,0.7142857142857143,0.588235294117647,0.03125
9,0.5,0.0,0.0,0.0
10,0.5384615384615384,0.6666666666666667,0.5957446808510638,0.015625
11,0.33333333333333337,0.0,0.0,0.015625
12,0.5294117647058824,0.5714285714285714,0.5496183206106869,0.015625
13,0.5625,0.5,0.5294117647058824,0.015625
14,0.35,0.0,0.0,0.015625
15,0.6,0.5555555555555556,0.576923076923077,0.015625
16,0.75,0.5714285714285714,0.6486486486486486,0.0
17,0.7272727272727273,0.6666666666666667,0.6956521739130436,0.0
18,0.6,0.7142857142857143,0.6521739130434783,0.015625
19,0.25,0.5833333333333333,0.35,0.03125
20,0.3529411764705882,0.5384615384615384,0.42639593908629436,0.015625
21,0.4,0.6,0.48,0.015625
22,0.3529411764705882,0.5454545454545454,0.42857142857142855,0.015625
23,1.0,1.0,1.0,0.0
24,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.0
25,0.5454545454545454,0.6,0.5714285714285713,0.015625
26,0.2666666666666667,0.5,0.3478260869565218,0.0
27,0.5454545454545454,0.6,0.5714285714285713,0.015625
28,0.75,0.7142857142857143,0.7317073170731706,0.0
29,0.3529411764705882,0.6,0.4444444444444444,0.046875
30,0.75,0.0,0.0,0.0
31,0.5454545454545454,0.46153846153846156,0.4999999999999999,0.015625
32,1.0,1.0,1.0,0.0
33,0.75,0.6,0.6666666666666665,0.015625
34,0.3529411764705882,0.5,0.41379310344827586,0.0
35,0.6666666666666667,0.5,0.5714285714285715,0.015625
36,0.5454545454545454,0.6666666666666667,0.6,0.0
37,0.30000000000000004,0.6,0.4,0.015625
38,0.4,0.6,0.48,0.015625
39,0.30000000000000004,0.5,0.37500000000000006,0.015625
40,0.3529411764705882,0.6,0.4444444444444444,0.015625
41,0.375,0.6,0.4615384615384615,0.0
42,0.3157894736842105,0.5,0.3870967741935484,0.015625
43,0.5454545454545454,0.6,0.5714285714285713,0.015625
44,0.5454545454545454,0.6,0.5714285714285713,0.0
45,0.5294117647058824,0.5,0.5142857142857143,0.015625
46,0.75,0.5714285714285714,0.6486486486486486,0.015625
47,0.8888888888888888,0.625,0.7339449541284404,0.0
48,0.375,0.5,0.42857142857142855,0.015625
49,0.5555555555555556,0.625,0.5882352941176471,0.015625
50,0.75,0.5,0.6,0.015625
51,0.5625,0.5,0.5294117647058824,0.0
52,0.5,0.0,0.0,0.015625
53,0.6428571428571428,0.5714285714285714,0.6050420168067226,0.015625
54,0.8888888888888888,0.5714285714285714,0.6956521739130435,0.015625
55,1.0,0.8,0.888888888888889,0.0
56,0.3125,0.625,0.4166666666666667,0.046875
57,0.4,0.6666666666666667,0.5,0.015625
58,0.5294117647058824,0.5714285714285714,0.5496183206106869,0.015625
59,0.3913043478260869,0.5714285714285714,0.46451612903225803,0.0625
60,0.40909090909090906,0.5,0.44999999999999996,0.015625
61,1.0,0.7142857142857143,0.8333333333333333,0.0
62,0.5294117647058824,0.5,0.5142857142857143,0.015625
63,0.7272727272727273,0.625,0.6722689075630253,0.015625
64,1.0,0.7142857142857143,0.8333333333333333,0.0
65,0.5454545454545454,0.6666666666666667,0.6,0.015625
66,0.8888888888888888,0.0,0.0,0.0
67,0.4545454545454546,0.625,0.5263157894736843,0.03125
68,0.5384615384615384,0.5714285714285714,0.5544554455445544,0.0
69,0.6153846153846154,0.6666666666666667,0.64,0.015625
70,1.0,0.7142857142857143,0.8333333333333333,0.0
71,0.75,0.6666666666666667,0.7058823529411764,0.015625
72,0.7272727272727273,0.6666666666666667,0.6956521739130436,0.0
73,0.8888888888888888,0.5714285714285714,0.6956521739130435,0.015625
74,0.375,0.5,0.42857142857142855,0.03125
75,0.33333333333333337,0.5,0.4,0.015625
76,0.5294117647058824,0.5,0.5142857142857143,0.015625
77,0.40909090909090906,0.5714285714285714,0.47682119205298007,0.015625
78,0.8,0.625,0.7017543859649122,0.015625
79,0.4736842105263158,0.5714285714285714,0.5179856115107914,0.015625
80,0.5714285714285714,0.625,0.5970149253731343,0.015625
81,0.5294117647058824,0.5,0.5142857142857143,0.015625
82,0.4736842105263158,0.625,0.5389221556886228,0.015625
83,0.5,0.5,0.5,0.0
84,0.5625,0.5714285714285714,0.5669291338582677,0.015625
85,0.55,0.8,0.6518518518518519,0.015625
86,0.8181818181818181,0.5714285714285714,0.6728971962616822,0.015625
87,0.5,0.6666666666666667,0.5714285714285715,0.046875
88,0.5,0.5,0.5,0.015625
89,0.6,0.5714285714285714,0.5853658536585366,0.015625
90,0.6363636363636364,0.6666666666666667,0.6511627906976745,0.015625
91,0.6875,0.8,0.7394957983193278,0.015625
92,0.5,0.0,0.0,0.015625
93,0.6,0.5,0.5454545454545454,0.0
94,0.22857142857142854,0.6666666666666667,0.34042553191489355,0.046875
95,0.75,0.6666666666666667,0.7058823529411764,0.0
96,0.8181818181818181,0.5714285714285714,0.6728971962616822,0.015625
97,0.31034482758620685,0.5714285714285714,0.40223463687150834,0.03125
98,0.5625,0.5714285714285714,0.5669291338582677,0.015625
99,0.5,0.6666666666666667,0.5714285714285715,0.015625
100,0.7,0.5714285714285714,0.6292134831460674,0.0
101,0.6,0.6666666666666667,0.6315789473684211,0.015625
102,0.5,0.5,0.5,0.015625
103,0.6923076923076923,0.5714285714285714,0.6260869565217392,0.015625
104,0.4736842105263158,0.5,0.4864864864864865,0.015625
105,0.6428571428571428,0.5714285714285714,0.6050420168067226,0.015625
106,0.375,0.5,0.42857142857142855,0.015625
107,0.368421052631579,0.0,0.0,0.015625
108,0.7857142857142857,0.8,0.7927927927927927,0.015625
109,0.36,0.5714285714285714,0.4417177914110429,0.03125
110,0.5625,0.5714285714285714,0.5669291338582677,0.046875
111,0.47058823529411764,0.5,0.48484848484848486,0.015625
112,0.44999999999999996,0.625,0.5232558139534884,0.015625
113,0.625,0.5714285714285714,0.5970149253731343,0.015625
114,0.5,0.0,0.0,0.015625
