n°_evaluation,fitness,precision,f-measure,time
0,,,,0.03125
1,0.7857142857142857,0.6666666666666667,0.721311475409836,0.0
2,0.9565217391304348,0.14049586776859502,0.24500491320013096,0.046875
3,0.9285714285714286,0.2857142857142857,0.4369747899159664,0.015625
4,0.6666666666666667,1.0,0.8,0.0
5,0.8181818181818181,0.2777777777777778,0.4147465437788018,0.078125
6,0.7,0.5,0.5833333333333334,0.0
7,0.7647058823529411,0.2777777777777778,0.4075235109717869,0.03125
8,0.9523809523809523,0.1648351648351648,0.2810304449648711,0.03125
9,0.8823529411764706,0.0,0.0,0.015625
10,0.8125,0.6666666666666667,0.7323943661971831,0.015625
11,0.7142857142857143,0.0,0.0,0.015625
12,0.95,0.1707317073170732,0.28944504896626777,0.03125
13,0.9473684210526316,0.17808219178082196,0.2998078155028828,0.03125
14,0.8695652173913043,0.0,0.0,0.015625
15,0.9444444444444444,0.1578947368421053,0.2705570291777189,0.03125
16,0.7272727272727273,0.3846153846153846,0.5031446540880502,0.015625
17,0.7857142857142857,0.6666666666666667,0.721311475409836,0.046875
18,0.8461538461538461,0.30434782608695654,0.4476744186046511,0.0
19,1.0,0.1578947368421053,0.2727272727272728,0.0625
20,0.95,0.16279069767441856,0.27795193312434685,0.015625
21,0.9444444444444444,0.1875,0.31288343558282206,0.03125
22,0.85,0.26086956521739135,0.39921722113502944,0.015625
23,0.6666666666666667,1.0,0.8,0.015625
24,0.5833333333333333,0.6666666666666667,0.6222222222222222,0.015625
25,0.9285714285714286,0.19999999999999996,0.3291139240506329,0.015625
26,0.7222222222222222,0.5,0.5909090909090908,0.046875
27,0.9285714285714286,0.2857142857142857,0.4369747899159664,0.015625
28,0.7272727272727273,0.3846153846153846,0.5031446540880502,0.0
29,0.95,0.1707317073170732,0.28944504896626777,0.03125
30,0.5454545454545454,0.0,0.0,0.015625
31,0.8571428571428572,0.26086956521739135,0.4000000000000001,0.015625
32,0.6666666666666667,1.0,0.8,0.0
33,0.7272727272727273,0.3846153846153846,0.5031446540880502,0.015625
34,0.95,0.17948717948717952,0.3019296254256527,0.015625
35,0.75,0.33333333333333337,0.46153846153846145,0.015625
36,0.7857142857142857,0.6666666666666667,0.721311475409836,0.015625
37,0.9565217391304348,0.14049586776859502,0.24500491320013096,0.046875
38,0.8333333333333334,0.29166666666666663,0.4320987654320987,0.015625
39,0.9130434782608696,0.5,0.6461538461538462,0.03125
40,0.9,0.2777777777777778,0.4245283018867924,0.046875
41,0.9473684210526316,0.15294117647058825,0.26336522228474957,0.03125
42,0.8181818181818181,0.5,0.6206896551724138,0.03125
43,0.9285714285714286,0.19999999999999996,0.3291139240506329,0.015625
44,0.9285714285714286,0.2857142857142857,0.4369747899159664,0.015625
45,1.0,0.14893617021276595,0.25925925925925924,0.03125
46,0.9333333333333333,0.2432432432432432,0.3859111791730474,0.015625
47,0.75,0.33333333333333337,0.46153846153846145,0.015625
48,0.736842105263158,0.5,0.5957446808510638,0.015625
49,0.9523809523809523,0.1648351648351648,0.2810304449648711,0.03125
50,0.7272727272727273,0.375,0.49484536082474223,0.015625
51,0.8947368421052632,0.5,0.6415094339622641,0.015625
52,0.8947368421052632,0.0,0.0,0.015625
53,0.9411764705882353,0.21568627450980393,0.35094715852442676,0.0625
54,0.75,0.33333333333333337,0.46153846153846145,0.015625
55,0.9285714285714286,0.2857142857142857,0.4369747899159664,0.015625
56,1.0,0.13875598086124397,0.24369747899159655,0.09375
57,0.9130434782608696,0.6666666666666667,0.7706422018348625,0.03125
58,0.9,0.29166666666666663,0.44055944055944046,0.015625
59,0.9615384615384616,0.1515151515151515,0.26178010471204183,0.09375
60,1.0,0.13669064748201443,0.2405063291139241,0.046875
61,0.7272727272727273,0.3846153846153846,0.5031446540880502,0.015625
62,0.95,0.1707317073170732,0.28944504896626777,0.03125
63,0.7857142857142857,0.26086956521739135,0.3916913946587537,0.0
64,0.7272727272727273,0.3846153846153846,0.5031446540880502,0.015625
65,0.7142857142857143,0.6666666666666667,0.6896551724137933,0.015625
66,0.6666666666666667,0.0,0.0,0.015625
67,1.0,0.14960629921259838,0.26027397260273966,0.078125
68,0.8125,0.2777777777777778,0.4140127388535032,0.015625
69,0.8125,0.6666666666666667,0.7323943661971831,0.015625
70,0.7272727272727273,0.3846153846153846,0.5031446540880502,0.0
71,0.5454545454545454,0.6666666666666667,0.6,0.015625
72,0.7857142857142857,0.6666666666666667,0.721311475409836,0.015625
73,0.75,0.33333333333333337,0.46153846153846145,0.015625
74,1.0,0.15328467153284675,0.2658227848101266,0.046875
75,0.8888888888888888,0.5,0.64,0.015625
76,0.95,0.14893617021276595,0.2575024201355276,0.03125
77,1.0,0.16521739130434787,0.2835820895522389,0.078125
78,0.7692307692307692,0.2777777777777778,0.4081632653061225,0.015625
79,0.9545454545454546,0.16000000000000003,0.2740619902120718,0.03125
80,0.8823529411764706,0.2777777777777778,0.42253521126760574,0.015625
81,0.95,0.14893617021276595,0.2575024201355276,0.03125
82,1.0,0.18181818181818177,0.30769230769230765,0.046875
83,0.6666666666666667,0.5,0.5714285714285715,0.015625
84,0.8947368421052632,0.26086956521739135,0.4039603960396041,0.046875
85,0.9565217391304348,0.15596330275229353,0.268196486195769,0.046875
86,0.9285714285714286,0.2857142857142857,0.4369747899159664,0.015625
87,0.8571428571428572,0.6666666666666667,0.75,0.015625
88,0.9473684210526316,0.17808219178082196,0.2998078155028828,0.03125
89,1.0,0.19999999999999996,0.33333333333333326,0.015625
90,0.7857142857142857,0.6666666666666667,0.721311475409836,0.015625
91,1.0,0.19999999999999996,0.33333333333333326,0.03125
92,0.9047619047619048,0.0,0.0,0.015625
93,0.6153846153846154,0.5,0.5517241379310345,0.015625
94,0.8947368421052632,0.6666666666666667,0.7640449438202248,0.109375
95,0.5,0.6666666666666667,0.5714285714285715,0.015625
96,0.7333333333333334,0.2692307692307693,0.3938618925831203,0.015625
97,0.9090909090909091,0.2692307692307693,0.4154302670623146,0.0625
98,0.85,0.26086956521739135,0.39921722113502944,0.03125
99,0.9545454545454546,0.29166666666666663,0.44680851063829785,0.03125
100,0.7857142857142857,0.2777777777777778,0.41044776119402987,0.015625
101,0.8947368421052632,0.26086956521739135,0.4039603960396041,0.015625
102,0.8636363636363636,0.36363636363636365,0.5117845117845118,0.0625
103,0.8235294117647058,0.2692307692307693,0.40579710144927533,0.03125
104,0.9130434782608696,0.35,0.5060240963855421,0.03125
105,0.7777777777777778,0.2692307692307693,0.4,0.03125
106,0.8928571428571429,0.36363636363636365,0.516795865633075,0.03125
107,0.8260869565217391,0.0,0.0,0.03125
108,0.8333333333333334,0.2692307692307693,0.40697674418604657,0.03125
109,0.9655172413793104,0.180327868852459,0.3038973852984706,0.09375
110,0.85,0.2692307692307693,0.4089347079037801,0.03125
111,0.7142857142857143,0.5,0.588235294117647,0.03125
112,0.9166666666666666,0.29166666666666663,0.4425287356321838,0.03125
113,0.85,0.2692307692307693,0.4089347079037801,0.03125
114,0.5555555555555556,0.0,0.0,0.015625
115,0.8421052631578947,0.2692307692307693,0.40801457194899826,0.03125
116,0.6842105263157895,0.5,0.5777777777777778,0.015625
117,0.8333333333333334,0.5,0.625,0.046875
118,0.7619047619047619,0.2777777777777778,0.40712468193384227,0.078125
119,0.85,0.2692307692307693,0.4089347079037801,0.03125
120,0.6666666666666667,0.3846153846153846,0.48780487804878053,0.0
121,0.9090909090909091,0.35,0.5054151624548736,0.03125
122,0.8125,0.26086956521739135,0.3949367088607596,0.03125
123,0.6666666666666667,0.26086956521739135,0.37500000000000006,0.015625
124,0.7333333333333334,0.36363636363636365,0.48618784530386744,0.015625
125,0.736842105263158,0.36363636363636365,0.48695652173913034,0.015625
126,0.7333333333333334,0.2692307692307693,0.3938618925831203,0.03125
127,0.8333333333333334,0.6666666666666667,0.7407407407407409,0.03125
128,0.875,0.26086956521739135,0.40191387559808617,0.015625
129,0.8636363636363636,0.2692307692307693,0.4104938271604939,0.03125
130,0.8125,0.2777777777777778,0.4140127388535032,0.015625
131,0.8695652173913043,0.2857142857142857,0.4301075268817204,0.0625
132,0.8235294117647058,0.26086956521739135,0.3962264150943397,0.03125
133,0.8571428571428572,0.2692307692307693,0.4097560975609757,0.015625
134,0.7142857142857143,0.2857142857142857,0.40816326530612246,0.015625
135,0.6666666666666667,0.3846153846153846,0.48780487804878053,0.015625
136,0.9090909090909091,0.35,0.5054151624548736,0.03125
137,0.6,1.0,0.7499999999999999,0.015625
138,0.5,0.6666666666666667,0.5714285714285715,0.0
139,0.85,0.2777777777777778,0.4187192118226601,0.03125
140,0.9189189189189189,0.2692307692307693,0.4164479440069992,0.109375
141,0.8571428571428572,0.2692307692307693,0.4097560975609757,0.03125
142,0.8636363636363636,0.2692307692307693,0.4104938271604939,0.03125
143,0.9047619047619048,0.35,0.5047438330170778,0.03125
144,0.7857142857142857,0.2777777777777778,0.41044776119402987,0.015625
145,0.6,1.0,0.7499999999999999,0.0
146,0.9512195121951219,0.2692307692307693,0.41967717140661037,0.09375
147,0.8636363636363636,0.4285714285714286,0.5728643216080402,0.015625
148,0.8888888888888888,0.35,0.5022421524663676,0.015625
149,0.8181818181818181,0.4285714285714286,0.5625,0.078125
150,0.4,0.0,0.0,0.015625
151,0.8709677419354839,0.5,0.6352941176470588,0.03125
152,0.5454545454545454,1.0,0.7058823529411764,0.015625
153,0.7916666666666666,0.3157894736842105,0.45148514851485144,0.015625
154,0.85,0.3157894736842105,0.46049661399548536,0.015625
155,0.7142857142857143,0.5,0.588235294117647,0.03125
156,0.5625,0.6666666666666667,0.6101694915254238,0.0
157,0.75,0.3157894736842105,0.44444444444444436,0.03125
158,0.6153846153846154,0.4545454545454546,0.5228758169934641,0.0
159,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.015625
160,0.8461538461538461,0.3157894736842105,0.4599303135888501,0.03125
161,0.7894736842105263,0.3157894736842105,0.4511278195488722,0.015625
162,0.76,0.5,0.6031746031746031,0.015625
163,0.7567567567567568,0.5,0.6021505376344086,0.09375
164,0.85,0.3157894736842105,0.46049661399548536,0.015625
165,0.6875,0.3157894736842105,0.4327868852459016,0.015625
166,0.7586206896551724,0.5,0.6027397260273972,0.03125
167,0.5454545454545454,1.0,0.7058823529411764,0.015625
168,0.8260869565217391,0.3157894736842105,0.45691382765531063,0.015625
169,0.4666666666666667,0.0,0.0,0.015625
170,0.8857142857142857,0.3157894736842105,0.4655819774718397,0.046875
171,0.9821428571428571,0.35,0.5160857908847184,0.15625
172,0.9259259259259259,0.3157894736842105,0.47095761381475665,0.046875
173,1.0,0.24193548387096775,0.38961038961038963,0.03125
174,0.75,0.3157894736842105,0.44444444444444436,0.015625
175,0.8461538461538461,0.33333333333333337,0.47826086956521746,0.015625
176,0.9047619047619048,0.3157894736842105,0.4681724845995893,0.03125
177,0.875,0.4285714285714286,0.5753424657534246,0.109375
178,0.935483870967742,0.3157894736842105,0.4721845318860244,0.046875
179,0.9473684210526316,0.4285714285714286,0.5901639344262295,0.0625
180,0.7619047619047619,0.5,0.6037735849056604,0.03125
181,0.7272727272727273,0.4545454545454546,0.5594405594405595,0.015625
182,0.9166666666666666,0.4285714285714286,0.5840707964601769,0.03125
183,0.9411764705882353,0.33333333333333337,0.49230769230769245,0.09375
184,0.7647058823529411,0.4285714285714286,0.5492957746478874,0.03125
185,0.8095238095238095,0.4285714285714286,0.5604395604395606,0.03125
186,0.9,0.3157894736842105,0.4675324675324675,0.015625
187,0.9230769230769231,0.4285714285714286,0.5853658536585366,0.046875
188,0.8,0.6666666666666667,0.7272727272727274,0.03125
189,0.9130434782608696,0.3157894736842105,0.4692737430167597,0.03125
190,0.9,0.3157894736842105,0.4675324675324675,0.09375
191,0.7272727272727273,0.4545454545454546,0.5594405594405595,0.0
192,0.8,0.6666666666666667,0.7272727272727274,0.046875
193,0.8260869565217391,0.6666666666666667,0.737864077669903,0.03125
194,0.8461538461538461,0.3157894736842105,0.4599303135888501,0.046875
195,0.7333333333333334,0.36363636363636365,0.48618784530386744,0.015625
196,0.9069767441860466,0.6666666666666667,0.768472906403941,0.109375
197,0.6,1.0,0.7499999999999999,0.0
198,0.6666666666666667,0.5,0.5714285714285715,0.015625
199,0.8695652173913043,0.4117647058823529,0.5588822355289421,0.0625
200,0.8235294117647058,0.33333333333333337,0.47457627118644075,0.015625
201,0.8888888888888888,0.36363636363636365,0.5161290322580644,0.078125
202,0.8,0.4,0.5333333333333333,0.015625
203,0.8235294117647058,0.33333333333333337,0.47457627118644075,0.015625
204,0.8095238095238095,0.5,0.6181818181818182,0.015625
205,0.6666666666666667,0.4285714285714286,0.5217391304347826,0.03125
206,0.8888888888888888,0.32352941176470584,0.47439353099730447,0.015625
207,0.8421052631578947,0.4,0.5423728813559322,0.03125
208,0.8636363636363636,0.4285714285714286,0.5728643216080402,0.015625
209,0.8888888888888888,0.4,0.5517241379310346,0.046875
210,0.7333333333333334,0.33333333333333337,0.4583333333333333,0.015625
211,0.8636363636363636,0.368421052631579,0.5165048543689321,0.03125
