n°_evaluation,fitness,precision,f-measure,time
0,,,,0.015625
1,0.9230769230769231,0.12307692307692308,0.2171945701357466,0.328125
2,1.0,0.12408759124087587,0.22077922077922071,0.84375
3,0.9230769230769231,0.12903225806451613,0.22641509433962262,0.359375
4,0.75,0.11111111111111116,0.19354838709677427,0.015625
5,0.8571428571428572,0.125,0.21818181818181817,2.421875
6,0.7777777777777778,0.11764705882352944,0.20437956204379565,0.125
7,0.8125,0.12048192771084343,0.20984665052461673,0.28125
8,1.0,0.1228070175438597,0.2187500000000001,0.796875
9,1.0,0.14473684210526316,0.2528735632183908,0.3125
10,1.0,0.12195121951219512,0.21739130434782605,0.140625
11,0.85,0.11304347826086958,0.199548532731377,0.75
12,1.0,0.13461538461538458,0.2372881355932203,0.4375
13,1.0,0.13,0.23008849557522126,0.34375
14,1.0,0.12408759124087587,0.22077922077922071,0.75
15,1.0,0.12903225806451613,0.2285714285714286,0.25
16,0.8,0.12195121951219512,0.21164021164021163,0.171875
17,0.9230769230769231,0.12698412698412698,0.22325581395348837,0.109375
18,0.9166666666666666,0.12727272727272732,0.22351233671988394,0.1875
19,1.0,0.1351351351351351,0.23809523809523803,1.484375
20,1.0,0.12612612612612617,0.22400000000000006,0.625
21,1.0,0.13636363636363635,0.24000000000000002,0.390625
22,0.9473684210526316,0.11764705882352944,0.20930232558139542,0.78125
23,0.75,0.11111111111111116,0.19354838709677427,0.015625
24,0.8181818181818181,0.11764705882352944,0.20571428571428574,0.203125
25,0.9230769230769231,0.1311475409836066,0.22966507177033502,0.046875
26,1.0,0.12631578947368416,0.22429906542056066,0.375
27,0.9230769230769231,0.1333333333333333,0.23300970873786403,0.140625
28,0.8,0.12195121951219512,0.21164021164021163,0.15625
29,1.0,0.13461538461538458,0.2372881355932203,0.421875
30,0.8,0.1063829787234043,0.18779342723004702,0.09375
31,0.9230769230769231,0.1166666666666667,0.20715166461159068,0.328125
32,0.75,0.11111111111111116,0.19354838709677427,0.015625
33,0.8,0.12195121951219512,0.21164021164021163,0.03125
34,1.0,0.12380952380952381,0.22033898305084745,0.703125
35,0.8181818181818181,0.125,0.21686746987951808,0.1875
36,0.9230769230769231,0.12307692307692308,0.2171945701357466,0.34375
37,1.0,0.12408759124087587,0.22077922077922071,0.71875
38,0.8823529411764706,0.11578947368421055,0.20471464019851118,0.65625
39,1.0,0.14912280701754388,0.25954198473282447,0.765625
40,0.9473684210526316,0.12371134020618557,0.2188449848024316,0.484375
41,1.0,0.12380952380952381,0.22033898305084745,0.46875
42,1.0,0.12121212121212122,0.21621621621621626,0.703125
43,0.9230769230769231,0.12307692307692308,0.2171945701357466,0.328125
44,0.9230769230769231,0.1333333333333333,0.23300970873786403,0.125
45,1.0,0.12844036697247707,0.22764227642276422,0.53125
46,0.9285714285714286,0.13235294117647056,0.23168316831683164,0.171875
47,0.8181818181818181,0.125,0.21686746987951808,0.28125
48,1.0,0.12264150943396224,0.21848739495798314,0.3125
49,1.0,0.1160714285714286,0.20800000000000005,0.8125
50,0.9,0.09756097560975607,0.17603911980440093,0.015625
51,1.0,0.125,0.2222222222222222,0.453125
52,1.0,0.125,0.2222222222222222,0.453125
53,0.9375,0.12643678160919536,0.22282241728561775,0.59375
54,0.8181818181818181,0.13043478260869568,0.22500000000000003,0.0625
55,0.9230769230769231,0.12903225806451613,0.22641509433962262,0.328125
56,1.0,0.12669683257918551,0.2248995983935743,2.9375
57,1.0,0.14529914529914534,0.25373134328358216,0.046875
58,1.0,0.14432989690721654,0.25225225225225234,0.03125
59,1.0,0.1398601398601399,0.245398773006135,0.0625
60,0.96,0.13636363636363635,0.23880597014925373,0.046875
61,0.8181818181818181,0.1724137931034483,0.28481012658227844,0.015625
62,0.95,0.13636363636363635,0.2384937238493723,0.015625
63,0.9285714285714286,0.1428571428571429,0.24761904761904766,0.015625
64,0.8181818181818181,0.1724137931034483,0.28481012658227844,0.015625
65,0.9285714285714286,0.12727272727272732,0.2238622386223863,0.03125
66,0.8333333333333334,0.125,0.21739130434782608,0.015625
67,1.0,0.14074074074074072,0.2467532467532467,0.09375
68,0.9375,0.14516129032258063,0.25139664804469275,0.03125
69,1.0,0.14492753623188404,0.2531645569620253,0.015625
70,0.8181818181818181,0.1724137931034483,0.28481012658227844,0.015625
71,0.8181818181818181,0.1470588235294118,0.2493074792243768,0.015625
72,0.9285714285714286,0.1454545454545455,0.2515114873035067,0.015625
73,0.8333333333333334,0.16666666666666663,0.27777777777777773,0.03125
74,0.962962962962963,0.13636363636363635,0.2388973966309341,0.046875
75,0.9444444444444444,0.13636363636363635,0.23831775700934577,0.015625
76,0.95,0.13636363636363635,0.2384937238493723,0.03125
77,1.0,0.1461538461538462,0.25503355704697994,0.0625
78,0.9230769230769231,0.1428571428571429,0.2474226804123712,0.0
79,1.0,0.1454545454545455,0.25396825396825407,0.09375
80,0.9411764705882353,0.1470588235294118,0.25437201907790147,0.015625
81,0.95,0.13636363636363635,0.2384937238493723,0.03125
82,1.0,0.1523809523809524,0.26446280991735543,0.046875
83,1.0,0.12857142857142856,0.22784810126582278,0.015625
84,0.8947368421052632,0.14893617021276595,0.25536480686695273,0.046875
85,1.0,0.1428571428571429,0.2500000000000001,0.046875
86,0.9285714285714286,0.16326530612244894,0.2777036048064085,0.03125
87,1.0,0.13888888888888884,0.24390243902439016,0.03125
88,0.9473684210526316,0.13636363636363635,0.23841059602649003,0.0625
89,1.0,0.14814814814814814,0.25806451612903225,0.03125
90,0.9285714285714286,0.1454545454545455,0.2515114873035067,0.03125
91,1.0,0.16455696202531644,0.2826086956521739,0.03125
92,0.9523809523809523,0.0,0.0,0.015625
93,0.9230769230769231,0.12727272727272732,0.2237017310252997,0.03125
94,0.9473684210526316,0.1271186440677966,0.22415940224159403,0.265625
95,0.8181818181818181,0.1470588235294118,0.2493074792243768,0.015625
96,0.9285714285714286,0.16326530612244894,0.2777036048064085,0.015625
97,1.0,0.12440191387559807,0.22127659574468084,0.109375
98,0.9444444444444444,0.15000000000000002,0.25888324873096447,0.25
99,1.0,0.1470588235294118,0.2564102564102565,0.265625
100,0.9166666666666666,0.1578947368421053,0.2693877551020409,0.09375
101,0.9411764705882353,0.1515151515151515,0.2610114192495921,0.21875
102,1.0,0.13157894736842102,0.23255813953488366,0.21875
103,1.0,0.15873015873015872,0.27397260273972607,0.09375
104,1.0,0.14678899082568808,0.256,0.265625
105,0.9375,0.1527777777777778,0.26273885350318477,0.21875
106,1.0,0.125,0.2222222222222222,0.421875
107,0.9047619047619048,0.0,0.0,0.15625
108,1.0,0.1527777777777778,0.26506024096385544,0.09375
109,1.0,0.12716763005780352,0.22564102564102573,0.515625
110,1.0,0.1444444444444445,0.2524271844660195,0.140625
111,0.8947368421052632,0.5,0.6415094339622641,0.171875
112,1.0,0.14166666666666672,0.24817518248175194,0.28125
113,1.0,0.1444444444444445,0.2524271844660195,0.15625
114,0.6875,0.0,0.0,0.15625
115,1.0,0.14814814814814814,0.25806451612903225,0.171875
116,0.8823529411764706,0.5,0.6382978723404256,0.09375
117,0.9642857142857143,0.5,0.6585365853658536,0.15625
118,0.8421052631578947,0.14942528735632188,0.2538133007931666,0.40625
119,1.0,0.1444444444444445,0.2524271844660195,0.171875
120,0.8,0.20833333333333337,0.33057851239669434,0.109375
121,1.0,0.15000000000000002,0.26086956521739135,0.21875
122,0.9285714285714286,0.15384615384615385,0.2639593908629442,0.140625
123,0.9230769230769231,0.15555555555555556,0.2662440570522979,0.140625
124,0.9230769230769231,0.1568627450980392,0.2681564245810056,0.109375
125,1.0,0.13793103448275867,0.24242424242424251,0.140625
126,0.9230769230769231,0.1777777777777778,0.2981366459627329,0.125
127,1.0,0.14049586776859502,0.24637681159420285,0.25
128,0.9285714285714286,0.15555555555555556,0.2664714494875549,0.140625
129,1.0,0.13888888888888884,0.24390243902439016,0.21875
130,0.9285714285714286,0.15384615384615385,0.2639593908629442,0.15625
131,1.0,0.134453781512605,0.237037037037037,0.28125
132,0.9333333333333333,0.15254237288135597,0.2622268470343393,0.171875
133,1.0,0.14141414141414144,0.24778761061946905,0.1875
134,0.9166666666666666,0.1842105263157895,0.30677290836653387,0.046875
135,0.8,0.20833333333333337,0.33057851239669434,0.0625
136,1.0,0.15000000000000002,0.26086956521739135,0.25
137,0.75,0.30000000000000004,0.4285714285714286,0.015625
138,0.8,0.1923076923076923,0.31007751937984496,0.046875
139,0.9444444444444444,0.15000000000000002,0.25888324873096447,0.296875
140,1.0,0.12345679012345678,0.21978021978021975,0.890625
141,1.0,0.15217391304347827,0.2641509433962264,0.171875
142,1.0,0.15000000000000002,0.26086956521739135,0.234375
143,1.0,0.1707317073170732,0.2916666666666667,0.15625
144,0.8461538461538461,0.1578947368421053,0.26612903225806456,0.15625
145,0.6666666666666667,0.30000000000000004,0.4137931034482759,0.015625
146,1.0,0.13877551020408163,0.24372759856630827,0.953125
147,1.0,0.1686746987951807,0.288659793814433,0.03125
148,0.9411764705882353,0.17307692307692313,0.29238578680203053,0.015625
149,0.9375,0.13953488372093026,0.24291497975708504,0.140625
150,0.5,0.0,0.0,0.015625
151,0.9,0.5,0.6428571428571429,0.03125
152,0.6,0.375,0.4615384615384615,0.015625
153,1.0,0.15384615384615385,0.2666666666666667,0.03125
154,1.0,0.16666666666666663,0.2857142857142857,0.03125
155,0.9,0.5,0.6428571428571429,0.015625
156,0.9333333333333333,0.1777777777777778,0.2986666666666667,0.015625
157,0.8947368421052632,0.1527777777777778,0.26099092812281927,0.046875
158,0.75,0.25,0.375,0.015625
159,0.8571428571428572,0.1578947368421053,0.2666666666666667,0.0
160,1.0,0.15000000000000002,0.26086956521739135,0.046875
161,0.8888888888888888,0.16129032258064513,0.27303754266211605,0.03125
162,0.9166666666666666,0.5,0.6470588235294118,0.015625
163,0.9166666666666666,0.5,0.6470588235294118,0.109375
164,1.0,0.1558441558441559,0.2696629213483147,0.03125
165,0.9285714285714286,0.18604651162790697,0.3099850968703427,0.015625
166,0.962962962962963,0.1428571428571429,0.24880382775119622,0.046875
167,0.6666666666666667,0.25,0.36363636363636365,0.0
168,1.0,0.1456310679611651,0.2542372881355933,0.03125
169,0.7692307692307692,0.0,0.0,0.015625
170,1.0,0.12796208530805686,0.226890756302521,0.140625
171,1.0,0.11940298507462688,0.21333333333333337,0.359375
172,1.0,0.13815789473684215,0.2427745664739885,0.0625
173,1.0,0.14851485148514854,0.25862068965517243,0.03125
174,1.0,0.18518518518518523,0.3125000000000001,0.015625
175,0.9230769230769231,0.19354838709677424,0.32000000000000006,0.015625
176,1.0,0.15306122448979587,0.2654867256637168,0.03125
177,0.96875,0.2727272727272727,0.42562929061784893,0.109375
178,1.0,0.13888888888888884,0.24390243902439016,0.078125
179,0.9736842105263158,0.2727272727272727,0.4261036468330135,0.0625
180,0.9130434782608696,0.5,0.6461538461538462,0.03125
181,0.7692307692307692,0.20833333333333337,0.3278688524590164,0.015625
182,1.0,0.1875,0.3157894736842105,0.15625
183,1.0,0.13861386138613863,0.2434782608695652,0.5
184,0.9473684210526316,0.18867924528301883,0.31468531468531463,0.03125
185,1.0,0.1648351648351648,0.2830188679245283,0.078125
186,1.0,0.1573033707865169,0.27184466019417486,0.109375
187,1.0,0.18181818181818177,0.30769230769230765,0.140625
188,1.0,0.16470588235294115,0.2828282828282828,0.078125
189,1.0,0.160377358490566,0.27642276422764217,0.125
190,0.96875,0.1428571428571429,0.24899598393574304,0.421875
