n°_evaluation,fitness,precision,f-measure,time
0,,,,0.015625
1,0.9333333333333333,0.18604651162790697,0.31024930747922436,0.015625
2,1.0,0.18279569892473113,0.309090909090909,0.078125
3,0.9333333333333333,0.21052631578947367,0.34355828220858897,0.03125
4,0.6,0.375,0.4615384615384615,0.0
5,0.8260869565217391,0.15662650602409633,0.2633262260127931,0.1875
6,0.7272727272727273,0.3076923076923077,0.43243243243243246,0.015625
7,0.7777777777777778,0.16129032258064513,0.26717557251908397,0.03125
8,1.0,0.1685393258426966,0.28846153846153844,0.046875
9,0.8888888888888888,0.0,0.0,0.015625
10,0.9411764705882353,0.1636363636363637,0.2787996127783156,0.015625
11,0.6818181818181819,0.0,0.0,0.046875
12,1.0,0.17500000000000004,0.29787234042553196,0.03125
13,1.0,0.18571428571428572,0.3132530120481928,0.03125
14,0.9166666666666666,0.0,0.0,0.03125
15,1.0,0.19354838709677424,0.3243243243243244,0.0625
16,0.75,0.25,0.375,0.0
17,0.9333333333333333,0.1777777777777778,0.2986666666666667,0.03125
18,0.8571428571428572,0.20588235294117652,0.33201581027667987,0.015625
19,1.0,0.16800000000000004,0.28767123287671237,0.078125
20,1.0,0.1707317073170732,0.2916666666666667,0.03125
21,1.0,0.19047619047619047,0.32,0.03125
22,0.9047619047619048,0.16049382716049387,0.272626931567329,0.078125
23,0.6,0.375,0.4615384615384615,0.015625
24,0.7692307692307692,0.1875,0.3015075376884422,0.015625
25,0.9333333333333333,0.2666666666666667,0.41481481481481486,0.015625
26,0.8947368421052632,0.5,0.6415094339622641,0.015625
27,0.9333333333333333,0.19999999999999996,0.3294117647058823,0.015625
28,0.75,0.25,0.375,0.0
29,1.0,0.1707317073170732,0.2916666666666667,0.046875
30,0.5,0.0,0.0,0.015625
31,0.8666666666666667,0.1707317073170732,0.28526645768025083,0.015625
32,0.6,0.375,0.4615384615384615,0.0
33,0.75,0.25,0.375,0.015625
34,1.0,0.1707317073170732,0.2916666666666667,0.03125
35,0.7692307692307692,0.2222222222222222,0.3448275862068965,0.015625
36,0.9333333333333333,0.18604651162790697,0.31024930747922436,0.015625
37,1.0,0.17525773195876293,0.29824561403508776,0.0625
38,0.8947368421052632,0.16417910447761197,0.27744807121661724,0.03125
39,0.9166666666666666,0.5,0.6470588235294118,0.0625
40,0.9047619047619048,0.1578947368421053,0.268867924528302,0.046875
41,1.0,0.18840579710144922,0.31707317073170727,0.015625
42,0.9130434782608696,0.5,0.6461538461538462,0.046875
43,0.9333333333333333,0.2666666666666667,0.41481481481481486,0.015625
44,0.9333333333333333,0.19999999999999996,0.3294117647058823,0.015625
45,1.0,0.19444444444444442,0.3255813953488372,0.03125
46,0.9375,0.19999999999999996,0.3296703296703296,0.03125
47,0.7692307692307692,0.2222222222222222,0.3448275862068965,0.015625
48,0.9,0.5,0.6428571428571429,0.015625
49,1.0,0.1685393258426966,0.28846153846153844,0.046875
50,0.75,0.23076923076923073,0.3529411764705882,0.015625
51,0.9,0.5,0.6428571428571429,0.015625
52,0.95,0.0,0.0,0.015625
53,0.9444444444444444,0.180327868852459,0.302834008097166,0.03125
54,0.7692307692307692,0.2222222222222222,0.3448275862068965,0.046875
55,0.9333333333333333,0.21052631578947367,0.34355828220858897,0.03125
56,1.0,0.16022099447513816,0.27619047619047626,0.15625
57,1.0,0.17000000000000004,0.2905982905982907,0.046875
58,0.9523809523809523,0.17567567567567566,0.2966343411294923,0.046875
59,1.0,0.16129032258064513,0.27777777777777773,0.109375
60,1.0,0.1711711711711712,0.2923076923076923,0.0625
61,0.75,0.25,0.375,0.0
62,1.0,0.18666666666666665,0.3146067415730337,0.046875
63,0.8666666666666667,0.1707317073170732,0.28526645768025083,0.015625
64,0.75,0.25,0.375,0.0
65,0.8666666666666667,0.15217391304347827,0.25889046941678523,0.03125
66,0.6923076923076923,0.0,0.0,0.0
67,1.0,0.16239316239316237,0.27941176470588236,0.109375
68,0.8823529411764706,0.1636363636363637,0.27607361963190197,0.015625
69,1.0,0.1694915254237288,0.2898550724637681,0.03125
70,0.75,0.25,0.375,0.015625
71,0.75,0.20833333333333337,0.3260869565217392,0.0
72,0.9333333333333333,0.1777777777777778,0.2986666666666667,0.015625
73,0.7692307692307692,0.2222222222222222,0.3448275862068965,0.015625
74,1.0,0.17500000000000004,0.29787234042553196,0.078125
75,0.8947368421052632,0.5,0.6415094339622641,0.015625
76,1.0,0.1842105263157895,0.31111111111111117,0.046875
77,1.0,0.17431192660550454,0.2968749999999999,0.09375
