n°_evaluation,fitness,precision,f-measure,time
0,,,,0.015625
1,0.8666666666666667,0.20833333333333337,0.3359173126614987,0.015625
2,0.9583333333333334,0.25531914893617025,0.4032140248356465,0.046875
3,0.9333333333333333,0.23529411764705888,0.3758389261744967,0.015625
4,0.5,0.375,0.42857142857142855,0.0
5,0.782608695652174,0.20833333333333337,0.32906764168190134,0.140625
6,0.6363636363636364,0.3076923076923077,0.4148148148148148,0.0
7,0.7222222222222222,0.20833333333333337,0.3233830845771145,0.03125
8,0.9090909090909091,0.19999999999999996,0.32786885245901637,0.03125
9,0.8333333333333334,0.0,0.0,0.015625
10,0.7647058823529411,0.21052631578947367,0.3301587301587301,0.015625
11,0.6363636363636364,0.0,0.0,0.015625
12,0.9523809523809523,0.19999999999999996,0.3305785123966941,0.03125
13,0.95,0.2222222222222222,0.36018957345971564,0.03125
14,0.875,0.0,0.0,0.015625
15,0.9473684210526316,0.25,0.3956043956043956,0.0625
16,0.75,0.2777777777777778,0.4054054054054055,0.0
17,0.8666666666666667,0.20833333333333337,0.3359173126614987,0.015625
18,0.8571428571428572,0.24137931034482762,0.3766816143497759,0.015625
19,0.8928571428571429,0.19999999999999996,0.326797385620915,0.0625
20,0.9047619047619048,0.19999999999999996,0.32758620689655166,0.015625
21,0.9473684210526316,0.21621621621621623,0.35207823960880197,0.03125
22,0.8571428571428572,0.2068965517241379,0.33333333333333326,0.03125
23,0.5,0.375,0.42857142857142855,0.0
24,0.6923076923076923,0.20833333333333337,0.3202846975088968,0.015625
25,0.9333333333333333,0.3076923076923077,0.46280991735537197,0.015625
26,0.7894736842105263,0.5,0.6122448979591837,0.015625
27,0.9333333333333333,0.23529411764705888,0.3758389261744967,0.015625
28,0.75,0.2777777777777778,0.4054054054054055,0.015625
29,0.9047619047619048,0.19999999999999996,0.32758620689655166,0.03125
30,0.41666666666666663,0.0,0.0,0.0
31,0.8,0.19999999999999996,0.31999999999999995,0.015625
32,0.5,0.375,0.42857142857142855,0.015625
33,0.75,0.2777777777777778,0.4054054054054055,0.0
34,0.9523809523809523,0.19512195121951215,0.3238866396761133,0.0625
35,0.7692307692307692,0.25,0.3773584905660377,0.015625
36,0.8666666666666667,0.20833333333333337,0.3359173126614987,0.015625
37,0.9583333333333334,0.22857142857142854,0.36910732196589763,0.03125
38,0.8421052631578947,0.19999999999999996,0.32323232323232315,0.03125
39,0.8333333333333334,0.5,0.625,0.03125
40,0.8095238095238095,0.20833333333333337,0.331384015594542,0.03125
41,0.95,0.25,0.3958333333333333,0.015625
42,0.8260869565217391,0.5,0.6229508196721311,0.03125
43,0.9333333333333333,0.3076923076923077,0.46280991735537197,0.0
44,0.9333333333333333,0.23529411764705888,0.3758389261744967,0.03125
45,0.9523809523809523,0.25,0.39603960396039606,0.015625
46,0.875,0.19999999999999996,0.3255813953488372,0.015625
47,0.7692307692307692,0.25,0.3773584905660377,0.015625
48,0.8,0.5,0.6153846153846154,0.015625
49,0.9090909090909091,0.19512195121951215,0.321285140562249,0.046875
50,0.5833333333333333,0.23076923076923073,0.3307086614173228,0.0
51,0.85,0.5,0.6296296296296295,0.015625
52,0.9,0.0,0.0,0.015625
53,0.8888888888888888,0.19512195121951215,0.31999999999999995,0.0625
54,0.7692307692307692,0.26086956521739135,0.3896103896103897,0.015625
55,0.9333333333333333,0.23529411764705888,0.3758389261744967,0.015625
56,0.9444444444444444,0.19512195121951215,0.323424494649227,0.078125
57,0.875,0.2068965517241379,0.3346613545816733,0.046875
58,0.8571428571428572,0.20588235294117652,0.33201581027667987,0.03125
59,0.8888888888888888,0.19999999999999996,0.3265306122448979,0.046875
60,0.9230769230769231,0.22857142857142854,0.366412213740458,0.046875
61,0.75,0.2777777777777778,0.4054054054054055,0.015625
62,0.9047619047619048,0.2222222222222222,0.3568075117370892,0.03125
63,0.8,0.19999999999999996,0.31999999999999995,0.0
64,0.75,0.2777777777777778,0.4054054054054055,0.015625
65,0.7333333333333334,0.19999999999999996,0.3142857142857142,0.015625
66,0.6923076923076923,0.0,0.0,0.015625
67,0.9615384615384616,0.19512195121951215,0.32441200324412,0.078125
68,0.7647058823529411,0.20833333333333337,0.32745591939546603,0.015625
69,0.8823529411764706,0.19999999999999996,0.3260869565217391,0.03125
70,0.75,0.2777777777777778,0.4054054054054055,0.0
71,0.6666666666666667,0.21052631578947367,0.32,0.015625
72,0.8666666666666667,0.19999999999999996,0.32499999999999996,0.015625
