n°_evaluation,fitness,precision,f-measure,time
0,,,,0.015625
1,0.5,0.4,0.4444444444444445,0.0625
2,0.8947368421052632,0.3076923076923077,0.457912457912458,0.0625
3,0.7,0.17647058823529416,0.2818791946308725,0.046875
4,0.6,0.6,0.6,0.0625
5,0.8888888888888888,0.15053763440860213,0.2574712643678161,0.09375
6,0.8333333333333334,0.4444444444444444,0.5797101449275363,0.015625
7,0.8461538461538461,0.1515151515151515,0.2570093457943925,0.03125
8,0.9411764705882353,0.17647058823529416,0.2972136222910218,0.046875
9,0.9230769230769231,0.0,0.0,0.03125
10,0.8333333333333334,0.18181818181818177,0.29850746268656714,0.078125
11,0.7647058823529411,0.0,0.0,0.046875
12,0.9375,0.1842105263157895,0.3079178885630499,0.046875
13,1.0,0.18055555555555558,0.3058823529411765,0.046875
14,0.8421052631578947,0.0,0.0,0.046875
15,0.9285714285714286,0.3076923076923077,0.46222222222222226,0.0625
16,0.8571428571428572,0.2777777777777778,0.41958041958041964,0.015625
17,0.6,0.16666666666666663,0.26086956521739124,0.0625
18,0.7777777777777778,0.20588235294117652,0.3255813953488373,0.015625
19,1.0,0.1640625,0.28187919463087246,0.078125
20,0.9375,0.1923076923076923,0.3191489361702127,0.0625
21,0.9285714285714286,0.3076923076923077,0.46222222222222226,0.03125
22,1.0,0.15384615384615385,0.2666666666666667,0.046875
23,0.6,0.6,0.6,0.015625
24,0.625,0.4,0.48780487804878053,0.015625
25,0.8,0.3076923076923077,0.4444444444444444,0.03125
26,0.7142857142857143,0.33333333333333337,0.4545454545454546,0.046875
27,0.7,0.1842105263157895,0.2916666666666667,0.046875
28,0.8571428571428572,0.2777777777777778,0.41958041958041964,0.015625
29,0.9375,0.1842105263157895,0.3079178885630499,0.078125
30,0.5714285714285714,0.0,0.0,0.015625
31,0.9,0.17500000000000004,0.29302325581395355,0.046875
32,0.6,0.6,0.6,0.0
33,0.8571428571428572,0.2941176470588235,0.43795620437956206,0.015625
34,1.0,0.1728395061728395,0.2947368421052632,0.046875
35,0.875,0.23076923076923073,0.3652173913043477,0.015625
36,0.5,0.4,0.4444444444444445,0.046875
37,0.9473684210526316,0.3076923076923077,0.4645161290322581,0.09375
38,0.7857142857142857,0.18604651162790697,0.30085470085470084,0.046875
39,0.8947368421052632,0.33333333333333337,0.48571428571428577,0.046875
40,1.0,0.1728395061728395,0.2947368421052632,0.03125
41,0.9333333333333333,0.3076923076923077,0.46280991735537197,0.046875
42,0.8333333333333334,0.33333333333333337,0.4761904761904763,0.0625
43,0.8,0.3076923076923077,0.4444444444444444,0.0625
44,0.7,0.1842105263157895,0.2916666666666667,0.046875
45,0.9375,0.3076923076923077,0.46332046332046334,0.03125
46,0.8181818181818181,0.1842105263157895,0.3007159904534606,0.046875
47,0.75,0.23076923076923073,0.3529411764705882,0.015625
48,0.8666666666666667,0.33333333333333337,0.48148148148148145,0.03125
49,0.9411764705882353,0.1842105263157895,0.30811554332874824,0.09375
50,0.8571428571428572,0.33333333333333337,0.48,0.0
51,0.8666666666666667,0.33333333333333337,0.48148148148148145,0.046875
52,0.9333333333333333,0.0,0.0,0.015625
53,0.9230769230769231,0.1964285714285714,0.3239263803680981,0.046875
54,0.875,0.24,0.37668161434977576,0.015625
55,0.7,0.17647058823529416,0.2818791946308725,0.046875
56,0.967741935483871,0.1842105263157895,0.30950626381724394,0.140625
57,0.8421052631578947,0.4,0.5423728813559322,0.0625
58,1.0,0.1686746987951807,0.288659793814433,0.046875
59,1.0,0.15748031496062997,0.27210884353741505,0.109375
60,0.9523809523809523,0.3076923076923077,0.4651162790697675,0.046875
61,0.8571428571428572,0.2777777777777778,0.41958041958041964,0.015625
62,1.0,0.17948717948717952,0.30434782608695654,0.03125
63,1.0,0.19999999999999996,0.33333333333333326,0.03125
64,0.8571428571428572,0.2777777777777778,0.41958041958041964,0.015625
65,0.8,0.17647058823529416,0.28915662650602414,0.03125
66,0.75,0.0,0.0,0.015625
67,0.9523809523809523,0.1842105263157895,0.308710033076075,0.0625
68,1.0,0.1785714285714286,0.3030303030303031,0.078125
69,0.8333333333333334,0.4,0.5405405405405406,0.03125
70,0.8571428571428572,0.2777777777777778,0.41958041958041964,0.015625
71,0.7142857142857143,0.18181818181818177,0.289855072463768,0.015625
72,0.6,0.4,0.48,0.046875
73,0.875,0.24,0.37668161434977576,0.015625
74,1.0,0.15909090909090906,0.27450980392156854,0.109375
75,0.7857142857142857,0.33333333333333337,0.46808510638297873,0.03125
76,0.9375,0.3076923076923077,0.46332046332046334,0.046875
77,1.0,0.16239316239316237,0.27941176470588236,0.046875
78,1.0,0.21875,0.358974358974359,0.03125
79,0.9444444444444444,0.1842105263157895,0.3082901554404145,0.09375
80,0.9230769230769231,0.1923076923076923,0.3183023872679045,0.03125
81,0.9375,0.3076923076923077,0.46332046332046334,0.046875
82,1.0,0.18181818181818177,0.30769230769230765,0.046875
83,0.7272727272727273,0.33333333333333337,0.45714285714285724,0.03125
84,0.8666666666666667,0.18918918918918914,0.31058020477815695,0.109375
85,0.9473684210526316,0.17647058823529416,0.29752066115702486,0.046875
86,0.7,0.1842105263157895,0.2916666666666667,0.046875
87,0.8235294117647058,0.4,0.5384615384615384,0.078125
88,0.9333333333333333,0.3076923076923077,0.46280991735537197,0.03125
89,1.0,0.1875,0.3157894736842105,0.0625
90,0.6,0.16666666666666663,0.26086956521739124,0.0625
91,0.9333333333333333,0.17647058823529416,0.2968197879858658,0.03125
92,0.8823529411764706,0.0,0.0,0.046875
93,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.03125
94,0.8529411764705882,0.4,0.5446009389671361,0.171875
95,0.7142857142857143,0.18181818181818177,0.289855072463768,0.015625
96,0.7,0.1842105263157895,0.2916666666666667,0.046875
97,0.9642857142857143,0.1842105263157895,0.30932896890343703,0.125
98,0.8666666666666667,0.1558441558441559,0.2641828958509738,0.046875
99,1.0,0.1785714285714286,0.3030303030303031,0.046875
100,1.0,0.21875,0.358974358974359,0.015625
101,1.0,0.1875,0.3157894736842105,0.078125
102,0.9411764705882353,0.3076923076923077,0.46376811594202905,0.03125
103,0.9166666666666666,0.1842105263157895,0.30677290836653387,0.046875
104,0.9444444444444444,0.3076923076923077,0.4641638225255973,0.03125
105,0.8461538461538461,0.1842105263157895,0.3025540275049116,0.046875
106,0.9565217391304348,0.3076923076923077,0.46560846560846564,0.0625
107,0.7222222222222222,0.0,0.0,0.0625
108,0.8461538461538461,0.17647058823529416,0.29203539823008856,0.109375
109,1.0,0.1496598639455783,0.26035502958579887,0.0625
110,0.9333333333333333,0.1842105263157895,0.30769230769230765,0.046875
111,0.75,0.33333333333333337,0.46153846153846145,0.109375
112,0.9473684210526316,0.18367346938775508,0.3076923076923077,0.0625
113,0.9333333333333333,0.17647058823529416,0.2968197879858658,0.046875
114,0.6153846153846154,0.0,0.0,0.046875
115,0.9285714285714286,0.1842105263157895,0.30743243243243246,0.046875
116,0.6428571428571428,0.33333333333333337,0.4390243902439025,0.0625
117,0.96,0.33333333333333337,0.49484536082474223,0.09375
118,0.875,0.1428571428571429,0.24561403508771942,0.046875
119,0.9333333333333333,0.17647058823529416,0.2968197879858658,0.046875
120,0.8571428571428572,0.2941176470588235,0.43795620437956206,0.015625
121,0.9411764705882353,0.3076923076923077,0.46376811594202905,0.03125
122,1.0,0.19565217391304346,0.32727272727272727,0.0625
123,0.9,0.17500000000000004,0.29302325581395355,0.046875
124,0.8,0.3076923076923077,0.4444444444444444,0.015625
125,0.9285714285714286,0.3076923076923077,0.46222222222222226,0.03125
126,0.7,0.1842105263157895,0.2916666666666667,0.046875
127,0.8421052631578947,0.4,0.5423728813559322,0.078125
128,1.0,0.2195121951219512,0.36,0.03125
129,0.9411764705882353,0.1842105263157895,0.30811554332874824,0.046875
130,1.0,0.18367346938775508,0.31034482758620685,0.0625
131,0.8888888888888888,0.19999999999999996,0.3265306122448979,0.0625
132,0.9166666666666666,0.17647058823529416,0.29596412556053814,0.03125
133,0.9375,0.1842105263157895,0.3079178885630499,0.046875
134,0.6666666666666667,0.1923076923076923,0.2985074626865672,0.03125
135,0.8571428571428572,0.2777777777777778,0.41958041958041964,0.015625
136,1.0,0.18292682926829273,0.309278350515464,0.09375
137,0.6,0.6,0.6,0.0
138,0.5714285714285714,0.4,0.47058823529411764,0.015625
139,1.0,0.15662650602409633,0.27083333333333326,0.046875
140,0.96875,0.1842105263157895,0.30955777460770334,0.109375
141,0.9375,0.17647058823529416,0.29702970297029707,0.09375
142,0.8235294117647058,0.1842105263157895,0.30107526881720426,0.0625
143,1.0,0.1917808219178082,0.3218390804597701,0.03125
144,1.0,0.21875,0.358974358974359,0.015625
145,0.6,0.6,0.6,0.015625
146,0.9444444444444444,0.17647058823529416,0.29737609329446074,0.203125
147,1.0,0.1728395061728395,0.2947368421052632,0.03125
148,1.0,0.1923076923076923,0.3225806451612903,0.03125
149,0.8888888888888888,0.3076923076923077,0.4571428571428572,0.09375
150,0.5555555555555556,0.10526315789473684,0.17699115044247787,0.03125
151,0.8,0.33333333333333337,0.47058823529411775,0.15625
152,0.6,0.6,0.6,0.0
153,0.9444444444444444,0.1842105263157895,0.3082901554404145,0.0625
154,0.9285714285714286,0.1842105263157895,0.30743243243243246,0.046875
