n°_evaluation,fitness,precision,f-measure,time
0,,,,0.03125
1,0.5384615384615384,0.6666666666666667,0.5957446808510638,0.015625
2,0.7727272727272727,0.6,0.6754966887417219,0.03125
3,0.6923076923076923,0.6,0.6428571428571429,0.046875
4,0.75,1.0,0.8571428571428571,0.0
5,0.8571428571428572,0.28,0.42211055276381915,0.0625
6,0.7777777777777778,0.8,0.7887323943661971,0.0
7,0.875,0.2857142857142857,0.4307692307692308,0.015625
8,0.8,0.3157894736842105,0.45283018867924535,0.046875
9,0.875,0.0,0.0,0.015625
10,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.03125
11,0.75,0.0,0.0,0.015625
12,0.7894736842105263,0.6,0.6818181818181819,0.03125
13,0.7777777777777778,0.6,0.6774193548387097,0.03125
14,0.7272727272727273,0.0,0.0,0.0625
15,0.8235294117647058,0.6,0.6942148760330579,0.015625
16,0.9,0.5,0.6428571428571429,0.015625
17,0.5384615384615384,0.6666666666666667,0.5957446808510638,0.015625
18,0.8333333333333334,0.3157894736842105,0.4580152671755725,0.0
19,0.8461538461538461,0.3157894736842105,0.4599303135888501,0.109375
20,0.7894736842105263,0.3571428571428571,0.4918032786885246,0.03125
21,0.8235294117647058,0.6,0.6942148760330579,0.015625
22,0.7894736842105263,0.6,0.6818181818181819,0.046875
23,0.75,1.0,0.8571428571428571,0.0
24,0.7272727272727273,0.6666666666666667,0.6956521739130436,0.015625
25,0.6153846153846154,0.6,0.6075949367088608,0.015625
26,0.5294117647058824,0.5,0.5142857142857143,0.03125
27,0.6923076923076923,0.3157894736842105,0.43373493975903615,0.015625
28,0.9,0.5,0.6428571428571429,0.015625
29,0.7894736842105263,0.3157894736842105,0.4511278195488722,0.03125
30,0.6,0.0,0.0,0.015625
31,0.9230769230769231,0.31818181818181823,0.4732394366197184,0.015625
32,0.75,1.0,0.8571428571428571,0.0
33,0.8,0.5555555555555556,0.6557377049180328,0.015625
34,0.8421052631578947,0.36363636363636365,0.5079365079365079,0.03125
35,0.8181818181818181,0.4285714285714286,0.5625,0.015625
36,0.5384615384615384,0.6666666666666667,0.5957446808510638,0.015625
37,0.8181818181818181,0.6,0.6923076923076923,0.046875
38,0.8235294117647058,0.33333333333333337,0.47457627118644075,0.0625
39,0.8181818181818181,0.5,0.6206896551724138,0.03125
40,0.9473684210526316,0.2857142857142857,0.4390243902439024,0.03125
41,0.7222222222222222,0.6,0.6554621848739496,0.046875
42,0.6666666666666667,0.5,0.5714285714285715,0.03125
43,0.6923076923076923,0.6,0.6428571428571429,0.015625
44,0.6923076923076923,0.3157894736842105,0.43373493975903615,0.03125
45,0.7894736842105263,0.6,0.6818181818181819,0.03125
46,0.6428571428571428,0.6,0.6206896551724137,0.015625
47,0.8181818181818181,0.4285714285714286,0.5625,0.015625
48,0.6666666666666667,0.5,0.5714285714285715,0.03125
49,0.85,0.3157894736842105,0.46049661399548536,0.03125
50,0.7,0.6,0.6461538461538462,0.015625
51,0.7777777777777778,0.5,0.6086956521739131,0.015625
52,0.8333333333333334,0.0,0.0,0.03125
53,0.875,0.36363636363636365,0.5137614678899082,0.015625
54,0.8181818181818181,0.4285714285714286,0.5625,0.046875
55,0.6923076923076923,0.6,0.6428571428571429,0.015625
56,0.9705882352941176,0.3157894736842105,0.47653429602888087,0.046875
57,0.7272727272727273,0.6666666666666667,0.6956521739130436,0.046875
58,0.7894736842105263,0.6,0.6818181818181819,0.03125
59,0.8,0.3157894736842105,0.45283018867924535,0.078125
60,0.875,0.6,0.711864406779661,0.046875
61,0.9,0.5,0.6428571428571429,0.0
62,0.6842105263157895,0.6,0.639344262295082,0.046875
63,0.8461538461538461,0.31818181818181823,0.46246246246246253,0.015625
64,0.9,0.5,0.6428571428571429,0.015625
65,0.7692307692307692,0.6666666666666667,0.7142857142857144,0.015625
66,0.8181818181818181,0.0,0.0,0.015625
67,0.9166666666666666,0.3157894736842105,0.46975088967971523,0.078125
68,0.8666666666666667,0.30000000000000004,0.4457142857142858,0.015625
69,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.015625
70,0.9,0.5,0.6428571428571429,0.015625
71,0.6,0.6666666666666667,0.6315789473684211,0.0
72,0.5384615384615384,0.6666666666666667,0.5957446808510638,0.015625
73,0.8181818181818181,0.4285714285714286,0.5625,0.015625
74,0.9615384615384616,0.6,0.7389162561576355,0.03125
75,0.7058823529411764,0.5,0.5853658536585366,0.03125
76,0.8421052631578947,0.6,0.7007299270072991,0.03125
77,0.875,0.6,0.711864406779661,0.03125
78,0.75,0.3571428571428571,0.48387096774193533,0.015625
79,0.7619047619047619,0.3157894736842105,0.4465116279069767,0.046875
80,0.9375,0.3571428571428571,0.5172413793103448,0.015625
81,0.7894736842105263,0.6,0.6818181818181819,0.03125
82,0.9523809523809523,0.36363636363636365,0.5263157894736843,0.03125
83,0.5714285714285714,0.5,0.5333333333333333,0.015625
84,0.8888888888888888,0.3157894736842105,0.4660194174757281,0.0625
85,0.8181818181818181,0.6,0.6923076923076923,0.046875
86,0.6923076923076923,0.3157894736842105,0.43373493975903615,0.015625
87,0.65,0.6666666666666667,0.6582278481012658,0.046875
88,0.8888888888888888,0.6,0.7164179104477612,0.015625
89,0.9411764705882353,0.36363636363636365,0.5245901639344263,0.03125
90,0.5384615384615384,0.6666666666666667,0.5957446808510638,0.015625
91,0.7777777777777778,0.6,0.6774193548387097,0.03125
92,0.8,0.0,0.0,0.03125
93,0.5,0.5,0.5,0.015625
94,0.7567567567567568,0.6666666666666667,0.7088607594936709,0.125
95,0.5454545454545454,0.6666666666666667,0.6,0.0
96,0.5714285714285714,0.6,0.5853658536585366,0.03125
97,0.84375,0.6,0.7012987012987012,0.078125
98,0.7894736842105263,0.3157894736842105,0.4511278195488722,0.0625
99,0.8571428571428572,0.6,0.7058823529411765,0.03125
100,0.7692307692307692,0.6,0.6741573033707864,0.015625
101,0.8333333333333334,0.6,0.6976744186046512,0.015625
102,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.046875
103,0.6875,0.6,0.6407766990291262,0.03125
104,0.8636363636363636,0.6666666666666667,0.7524752475247526,0.03125
105,0.7058823529411764,0.6,0.6486486486486487,0.015625
106,0.7037037037037037,0.6666666666666667,0.6846846846846848,0.078125
107,0.7272727272727273,0.0,0.0,0.046875
108,0.6470588235294117,0.6,0.6226415094339622,0.03125
109,0.8928571428571429,0.6,0.7177033492822966,0.03125
110,0.736842105263158,0.6,0.6614173228346456,0.03125
111,0.7,0.5,0.5833333333333334,0.015625
112,0.8695652173913043,0.34782608695652173,0.4968944099378882,0.078125
113,0.7894736842105263,0.3157894736842105,0.4511278195488722,0.03125
114,0.5882352941176471,0.0,0.0,0.015625
115,0.8333333333333334,0.6,0.6976744186046512,0.015625
116,0.6111111111111112,0.5,0.55,0.03125
117,0.7586206896551724,0.5,0.6027397260273972,0.0625
118,0.8,0.3571428571428571,0.4938271604938272,0.015625
119,0.7894736842105263,0.6,0.6818181818181819,0.03125
120,0.7272727272727273,0.6,0.6575342465753425,0.0
121,0.8571428571428572,0.6666666666666667,0.75,0.03125
122,0.8,0.33333333333333337,0.47058823529411775,0.015625
123,0.7142857142857143,0.33333333333333337,0.4545454545454546,0.015625
124,0.7142857142857143,0.6666666666666667,0.6896551724137933,0.015625
125,0.7222222222222222,0.6666666666666667,0.6933333333333334,0.0625
126,0.6428571428571428,0.6,0.6206896551724137,0.0
127,0.6956521739130435,0.6666666666666667,0.6808510638297873,0.0625
128,0.8666666666666667,0.6,0.7090909090909091,0.015625
129,0.8571428571428572,0.6,0.7058823529411765,0.015625
130,0.8666666666666667,0.3571428571428571,0.5058365758754862,0.015625
131,0.7272727272727273,0.6,0.6575342465753425,0.046875
132,0.6875,0.3157894736842105,0.4327868852459016,0.015625
133,0.9,0.3157894736842105,0.4675324675324675,0.015625
134,0.6923076923076923,0.3571428571428571,0.4712041884816754,0.015625
135,0.8181818181818181,0.5,0.6206896551724138,0.015625
136,0.8095238095238095,0.6666666666666667,0.7311827956989247,0.03125
137,0.6666666666666667,1.0,0.8,0.0
138,0.6363636363636364,0.6666666666666667,0.6511627906976745,0.015625
139,0.8421052631578947,0.6,0.7007299270072991,0.015625
140,0.8611111111111112,0.6,0.7072243346007605,0.140625
141,0.8,0.6,0.6857142857142857,0.03125
142,0.9047619047619048,0.3157894736842105,0.4681724845995893,0.015625
143,0.85,0.6666666666666667,0.7472527472527474,0.03125
144,0.7692307692307692,0.6,0.6741573033707864,0.015625
145,0.6666666666666667,1.0,0.8,0.0
146,0.875,0.6,0.711864406779661,0.125
147,0.7,0.75,0.7241379310344827,0.03125
148,0.75,0.75,0.75,0.015625
149,0.7419354838709677,0.75,0.7459459459459459,0.0625
150,0.46153846153846156,0.0,0.0,0.0
151,0.7241379310344828,0.5,0.591549295774648,0.078125
152,0.6666666666666667,1.0,0.8,0.0
153,0.7272727272727273,0.3529411764705882,0.4752475247524752,0.03125
154,0.7222222222222222,0.3529411764705882,0.47416413373860183,0.0625
155,0.5789473684210527,0.5,0.5365853658536586,0.03125
156,0.5,0.6666666666666667,0.5714285714285715,0.015625
157,0.6111111111111112,0.75,0.6734693877551021,0.015625
158,0.7272727272727273,0.5555555555555556,0.6299212598425198,0.015625
159,0.6923076923076923,0.6666666666666667,0.6792452830188679,0.0
160,0.7083333333333333,0.75,0.7285714285714286,0.046875
161,0.8235294117647058,0.38888888888888884,0.5283018867924527,0.03125
162,0.7391304347826086,0.5,0.5964912280701754,0.03125
163,0.6857142857142857,0.5,0.5783132530120482,0.078125
164,0.7222222222222222,0.3529411764705882,0.47416413373860183,0.03125
165,0.6428571428571428,0.75,0.6923076923076923,0.015625
166,0.7037037037037037,0.5,0.5846153846153846,0.046875
167,0.6666666666666667,1.0,0.8,0.0
168,0.6666666666666667,0.75,0.7058823529411764,0.03125
169,0.3846153846153846,0.0,0.0,0.015625
170,0.8181818181818181,0.75,0.7826086956521738,0.0625
171,0.9074074074074074,0.3529411764705882,0.5082108902333621,0.234375
172,0.8461538461538461,0.75,0.7951807228915662,0.046875
173,0.8,0.3529411764705882,0.489795918367347,0.03125
174,0.6,0.75,0.6666666666666665,0.015625
175,0.9166666666666666,0.3846153846153846,0.541871921182266,0.015625
176,0.8,0.3529411764705882,0.489795918367347,0.03125
177,0.7741935483870968,0.75,0.7619047619047619,0.078125
178,0.8333333333333334,0.75,0.7894736842105262,0.046875
179,0.8648648648648649,0.75,0.803347280334728,0.125
180,0.65,0.5,0.5652173913043479,0.03125
181,0.9,0.5555555555555556,0.6870229007633587,0.0
182,0.8260869565217391,0.75,0.786206896551724,0.03125
183,0.8787878787878788,0.3846153846153846,0.5350553505535055,0.0625
184,0.5625,0.75,0.6428571428571429,0.03125
185,0.7,0.75,0.7241379310344827,0.03125
186,0.7894736842105263,0.75,0.7692307692307692,0.03125
187,0.8,0.75,0.7741935483870969,0.046875
188,0.6842105263157895,0.6666666666666667,0.6753246753246753,0.03125
189,0.8181818181818181,0.75,0.7826086956521738,0.03125
190,0.8620689655172413,0.3529411764705882,0.5008347245409015,0.046875
191,0.9,0.5555555555555556,0.6870229007633587,0.015625
192,0.7916666666666666,0.6666666666666667,0.7238095238095238,0.03125
193,0.7272727272727273,0.6666666666666667,0.6956521739130436,0.078125
