n°_evaluation,fitness,precision,f-measure,time
0,,,,0.0
1,0.8181818181818181,0.6666666666666667,0.7346938775510204,0.015625
2,0.8,0.25806451612903225,0.3902439024390244,0.03125
3,1.0,0.27586206896551724,0.4324324324324324,0.015625
4,1.0,1.0,1.0,0.0
5,0.8421052631578947,0.2727272727272727,0.41201716738197425,0.03125
6,0.8571428571428572,0.4444444444444444,0.5853658536585367,0.015625
7,0.8571428571428572,0.2727272727272727,0.41379310344827586,0.03125
8,0.8333333333333334,0.22499999999999998,0.3543307086614173,0.015625
9,0.8571428571428572,0.0,0.0,0.015625
10,0.6153846153846154,0.6666666666666667,0.64,0.015625
11,0.7222222222222222,0.0,0.0,0.03125
12,0.8823529411764706,0.22499999999999998,0.35856573705179273,0.015625
13,0.875,0.22499999999999998,0.35795454545454536,0.0625
14,0.75,0.0,0.0,0.03125
15,0.8666666666666667,0.22499999999999998,0.3572519083969465,0.015625
16,1.0,0.33333333333333337,0.5,0.015625
17,0.8181818181818181,0.6666666666666667,0.7346938775510204,0.0
18,1.0,0.2592592592592593,0.411764705882353,0.015625
19,0.7916666666666666,0.22499999999999998,0.35040983606557374,0.046875
20,0.8235294117647058,0.23529411764705888,0.36601307189542487,0.03125
21,0.8666666666666667,0.22499999999999998,0.3572519083969465,0.015625
22,0.8823529411764706,0.25,0.38961038961038963,0.03125
23,1.0,1.0,1.0,0.015625
24,0.7777777777777778,0.6666666666666667,0.717948717948718,0.015625
25,1.0,0.2222222222222222,0.3636363636363636,0.0
26,0.6666666666666667,0.5,0.5714285714285715,0.015625
27,1.0,0.2222222222222222,0.3636363636363636,0.015625
28,1.0,0.2777777777777778,0.4347826086956522,0.0
29,0.8235294117647058,0.2093023255813954,0.3337748344370861,0.03125
30,0.75,0.0,0.0,0.03125
31,0.8181818181818181,0.20588235294117652,0.328981723237598,0.015625
32,1.0,0.33333333333333337,0.5,0.0
33,1.0,0.23809523809523814,0.3846153846153847,0.0
34,0.8823529411764706,0.19565217391304346,0.32028469750889677,0.03125
35,1.0,0.2222222222222222,0.3636363636363636,0.046875
36,1.0,0.25806451612903225,0.41025641025641024,0.0
37,0.9,0.20512820512820518,0.3341067285382831,0.03125
38,0.8666666666666667,0.20588235294117652,0.3327239488117002,0.015625
39,0.7,0.19999999999999996,0.31111111111111106,0.015625
40,0.7647058823529411,0.20833333333333337,0.32745591939546603,0.015625
41,0.875,0.20512820512820518,0.3323442136498516,0.015625
42,0.7894736842105263,0.19999999999999996,0.3191489361702127,0.015625
43,1.0,0.23529411764705888,0.38095238095238104,0.015625
44,1.0,0.23529411764705888,0.38095238095238104,0.015625
45,0.8823529411764706,0.20512820512820518,0.33287101248266304,0.015625
46,0.9166666666666666,0.20512820512820518,0.3352380952380953,0.015625
47,1.0,0.25,0.4,0.0
48,0.625,0.25,0.35714285714285715,0.015625
49,0.7777777777777778,0.25,0.3783783783783784,0.015625
50,0.75,0.25,0.375,0.015625
51,0.6875,0.25,0.36666666666666664,0.015625
52,0.75,0.2666666666666667,0.3934426229508198,0.015625
53,0.7857142857142857,0.25,0.37931034482758624,0.015625
54,1.0,0.30000000000000004,0.46153846153846156,0.015625
55,0.8181818181818181,0.25,0.3829787234042553,0.015625
56,0.8125,0.25,0.38235294117647056,0.09375
57,0.7,0.25,0.3684210526315789,0.03125
58,0.7647058823529411,0.25,0.37681159420289856,0.03125
59,0.7391304347826086,0.25,0.37362637362637363,0.046875
60,0.7727272727272727,0.25,0.37777777777777777,0.03125
61,1.0,0.3125,0.47619047619047616,0.0
62,0.7647058823529411,0.25,0.37681159420289856,0.015625
63,1.0,0.31999999999999995,0.4848484848484848,0.015625
64,1.0,0.3125,0.47619047619047616,0.015625
65,0.8181818181818181,0.28,0.41721854304635764,0.0
66,1.0,0.3157894736842105,0.4799999999999999,0.015625
67,0.8181818181818181,0.25,0.3829787234042553,0.03125
68,0.9230769230769231,0.2857142857142857,0.43636363636363634,0.015625
69,0.8461538461538461,0.25,0.38596491228070173,0.015625
70,1.0,0.3125,0.47619047619047616,0.015625
71,1.0,0.3125,0.47619047619047616,0.0
72,0.8181818181818181,0.25,0.3829787234042553,0.0
73,1.0,0.30000000000000004,0.46153846153846156,0.015625
74,0.7916666666666666,0.25,0.38000000000000006,0.03125
75,0.6,0.25,0.35294117647058826,0.015625
76,0.7647058823529411,0.25,0.37681159420289856,0.0625
77,0.7727272727272727,0.25,0.37777777777777777,0.03125
78,1.0,0.33333333333333337,0.5,0.0
79,0.736842105263158,0.25,0.37333333333333335,0.03125
80,0.8571428571428572,0.25,0.3870967741935484,0.015625
81,0.7647058823529411,0.25,0.37681159420289856,0.015625
82,0.6842105263157895,0.25,0.36619718309859156,0.03125
83,0.75,0.25,0.375,0.015625
84,0.75,0.25,0.375,0.015625
85,0.8,0.25,0.38095238095238093,0.03125
86,0.8181818181818181,0.25,0.3829787234042553,0.0
87,0.7222222222222222,0.25,0.37142857142857144,0.03125
88,0.6875,0.25,0.36666666666666664,0.015625
89,0.7333333333333334,0.25,0.3728813559322034,0.015625
90,0.8181818181818181,0.25,0.3829787234042553,0.015625
91,0.6875,0.25,0.36666666666666664,0.015625
92,0.7222222222222222,0.0,0.0,0.015625
93,0.7,0.25,0.3684210526315789,0.015625
94,0.8285714285714285,0.25,0.3841059602649007,0.09375
95,1.0,0.3125,0.47619047619047616,0.015625
96,0.8181818181818181,0.25,0.3829787234042553,0.0
97,0.8620689655172413,0.25,0.38759689922480617,0.0625
98,0.75,0.28,0.4077669902912622,0.015625
99,0.7222222222222222,0.25,0.37142857142857144,0.03125
100,1.0,0.33333333333333337,0.5,0.0
101,0.7333333333333334,0.28,0.4052631578947369,0.03125
102,0.7222222222222222,0.25,0.37142857142857144,0.015625
103,0.8461538461538461,0.25,0.38596491228070173,0.015625
104,0.6842105263157895,0.25,0.36619718309859156,0.015625
105,0.7857142857142857,0.25,0.37931034482758624,0.015625
106,0.7916666666666666,0.25,0.38000000000000006,0.03125
107,0.5789473684210527,0.0,0.0,0.03125
108,0.7857142857142857,0.25,0.37931034482758624,0.046875
109,0.8,0.25,0.38095238095238093,0.046875
110,0.6875,0.25,0.36666666666666664,0.015625
111,0.5882352941176471,0.25,0.3508771929824561,0.015625
112,0.65,0.25,0.3611111111111111,0.03125
113,0.75,0.25,0.375,0.015625
114,0.7142857142857143,0.0,0.0,0.015625
115,0.7333333333333334,0.25,0.3728813559322034,0.015625
116,0.6,0.25,0.35294117647058826,0.015625
117,0.8076923076923077,0.25,0.38181818181818183,0.03125
118,0.8235294117647058,0.2857142857142857,0.42424242424242414,0.03125
119,0.75,0.25,0.375,0.015625
120,1.0,0.3125,0.47619047619047616,0.0
121,0.6666666666666667,0.25,0.36363636363636365,0.03125
122,0.9166666666666666,0.28,0.4289693593314763,0.015625
123,0.8181818181818181,0.28,0.41721854304635764,0.0
124,0.8181818181818181,0.25,0.3829787234042553,0.015625
125,0.7333333333333334,0.25,0.3728813559322034,0.015625
126,0.8181818181818181,0.25,0.3829787234042553,0.015625
127,0.7,0.25,0.3684210526315789,0.0625
128,0.9166666666666666,0.27586206896551724,0.42409638554216866,0.015625
129,0.7222222222222222,0.25,0.37142857142857144,0.015625
130,0.8333333333333334,0.2857142857142857,0.42553191489361697,0.015625
131,0.736842105263158,0.25,0.37333333333333335,0.015625
132,0.8461538461538461,0.25,0.38596491228070173,0.015625
133,0.7647058823529411,0.25,0.37681159420289856,0.03125
134,0.8,0.25,0.38095238095238093,0.015625
135,1.0,0.3125,0.47619047619047616,0.0
136,0.7222222222222222,0.25,0.37142857142857144,0.015625
137,1.0,0.375,0.5454545454545454,0.015625
138,1.0,0.3125,0.47619047619047616,0.0
139,0.875,0.2857142857142857,0.4307692307692308,0.03125
140,0.8484848484848485,0.25,0.3862068965517241,0.0625
141,0.7647058823529411,0.25,0.37681159420289856,0.015625
142,0.7222222222222222,0.25,0.37142857142857144,0.015625
