n°_evaluation,fitness,precision,f-measure,time
0,,,,0.015625
1,0.8181818181818181,0.6666666666666667,0.7346938775510204,0.015625
2,0.8,0.25806451612903225,0.3902439024390244,0.03125
3,1.0,0.27586206896551724,0.4324324324324324,0.015625
4,1.0,1.0,1.0,0.0
5,0.8421052631578947,0.2727272727272727,0.41201716738197425,0.046875
6,0.8571428571428572,0.4444444444444444,0.5853658536585367,0.0
7,0.8571428571428572,0.2727272727272727,0.41379310344827586,0.015625
8,0.8333333333333334,0.28125,0.42056074766355134,0.03125
9,0.8571428571428572,0.0,0.0,0.015625
10,0.6153846153846154,0.6666666666666667,0.64,0.015625
11,0.6666666666666667,0.0,0.0,0.015625
12,0.8823529411764706,0.22499999999999998,0.35856573705179273,0.03125
13,0.8125,0.22499999999999998,0.3524096385542168,0.03125
14,0.75,0.0,0.0,0.0625
15,0.8666666666666667,0.22499999999999998,0.3572519083969465,0.015625
16,1.0,0.4545454545454546,0.625,0.015625
17,0.8181818181818181,0.6666666666666667,0.7346938775510204,0.015625
18,1.0,0.368421052631579,0.5384615384615385,0.0
19,0.7916666666666666,0.28125,0.4150485436893204,0.046875
20,0.8235294117647058,0.2666666666666667,0.4028776978417266,0.03125
21,0.8666666666666667,0.25,0.3880597014925373,0.015625
22,0.8823529411764706,0.29166666666666663,0.43841336116910234,0.03125
23,1.0,1.0,1.0,0.0
24,0.7777777777777778,0.6666666666666667,0.717948717948718,0.015625
25,1.0,0.24242424242424243,0.3902439024390244,0.0
26,0.6666666666666667,0.5,0.5714285714285715,0.03125
27,1.0,0.24242424242424243,0.3902439024390244,0.0
28,1.0,0.4545454545454546,0.625,0.015625
29,0.7647058823529411,0.22499999999999998,0.3476968796433878,0.015625
30,0.75,0.0,0.0,0.046875
31,0.8181818181818181,0.29166666666666663,0.43003412969283267,0.015625
32,1.0,1.0,1.0,0.0
33,1.0,0.33333333333333337,0.5,0.0
34,0.8823529411764706,0.25,0.38961038961038963,0.03125
35,0.8888888888888888,0.3529411764705882,0.5052631578947367,0.015625
36,0.8181818181818181,0.6666666666666667,0.7346938775510204,0.015625
37,0.85,0.22499999999999998,0.3558139534883721,0.03125
38,0.8666666666666667,0.23529411764705888,0.3701067615658364,0.03125
39,0.75,0.5,0.6,0.015625
40,0.7058823529411764,0.2727272727272727,0.3934426229508196,0.03125
41,0.8125,0.28125,0.41785714285714287,0.03125
42,0.736842105263158,0.5,0.5957446808510638,0.03125
43,1.0,0.27586206896551724,0.4324324324324324,0.015625
44,1.0,0.24242424242424243,0.3902439024390244,0.0
45,0.8823529411764706,0.25,0.38961038961038963,0.03125
46,0.9166666666666666,0.23076923076923073,0.3687150837988826,0.015625
47,1.0,0.3529411764705882,0.5217391304347825,0.0
48,0.8125,0.5,0.6190476190476191,0.0625
49,0.8333333333333334,0.25,0.3846153846153846,0.03125
50,1.0,0.5,0.6666666666666666,0.0
51,0.75,0.5,0.6,0.015625
52,0.8125,0.0,0.0,0.015625
53,0.9285714285714286,0.22499999999999998,0.3622291021671827,0.03125
54,1.0,0.2857142857142857,0.4444444444444445,0.0
55,1.0,0.27586206896551724,0.4324324324324324,0.015625
56,0.84375,0.25,0.38571428571428573,0.09375
57,0.65,0.6666666666666667,0.6582278481012658,0.015625
58,0.8235294117647058,0.23529411764705888,0.36601307189542487,0.03125
59,0.8260869565217391,0.28125,0.41963190184049076,0.046875
60,0.8636363636363636,0.25,0.3877551020408163,0.078125
61,1.0,0.4545454545454546,0.625,0.0
62,0.8823529411764706,0.22499999999999998,0.35856573705179273,0.03125
63,1.0,0.33333333333333337,0.5,0.015625
64,1.0,0.4545454545454546,0.625,0.0
