n°_evaluation,fitness,precision,f-measure,time
0,,,,0.0
1,0.6153846153846154,0.6666666666666667,0.64,0.015625
2,0.4545454545454546,0.6,0.5172413793103449,0.015625
3,0.7692307692307692,0.6,0.6741573033707864,0.0
4,0.75,1.0,0.8571428571428571,0.0
5,0.47619047619047616,0.8333333333333334,0.6060606060606061,0.046875
6,0.8888888888888888,0.8,0.8421052631578948,0.015625
7,0.625,0.8333333333333334,0.7142857142857143,0.0
8,0.5,0.6666666666666667,0.5714285714285715,0.015625
9,0.625,0.0,0.0,0.0
10,0.5333333333333333,0.6666666666666667,0.5925925925925926,0.015625
11,0.5,0.0,0.0,0.0
12,0.5263157894736843,0.6,0.5607476635514019,0.015625
13,0.5555555555555556,0.6,0.576923076923077,0.015625
14,0.36363636363636365,0.0,0.0,0.0
15,0.5882352941176471,0.6,0.5940594059405941,0.015625
16,1.0,0.8333333333333334,0.9090909090909091,0.0
17,0.6153846153846154,0.6666666666666667,0.64,0.015625
18,0.8333333333333334,0.6666666666666667,0.7407407407407409,0.0
19,0.3846153846153846,0.6666666666666667,0.48780487804878053,0.015625
20,0.5263157894736843,0.8333333333333334,0.6451612903225807,0.015625
21,0.5882352941176471,0.6,0.5940594059405941,0.0
22,0.5263157894736843,0.6,0.5607476635514019,0.015625
23,0.75,1.0,0.8571428571428571,0.0
24,0.7272727272727273,0.6666666666666667,0.6956521739130436,0.0
25,0.7692307692307692,0.6,0.6741573033707864,0.0
26,0.47058823529411764,0.5,0.48484848484848486,0.015625
27,0.7692307692307692,0.6666666666666667,0.7142857142857144,0.0
28,1.0,0.8333333333333334,0.9090909090909091,0.0
29,0.5263157894736843,0.6666666666666667,0.5882352941176472,0.015625
30,0.6,0.0,0.0,0.015625
31,0.7692307692307692,0.8333333333333334,0.7999999999999999,0.0
32,0.75,1.0,0.8571428571428571,0.015625
33,1.0,0.8333333333333334,0.9090909090909091,0.0
34,0.5263157894736843,0.8333333333333334,0.6451612903225807,0.015625
35,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.0
36,0.6153846153846154,0.6666666666666667,0.64,0.0
37,0.4545454545454546,0.6,0.5172413793103449,0.015625
38,0.5882352941176471,0.8333333333333334,0.6896551724137931,0.015625
39,0.4545454545454546,0.5,0.4761904761904762,0.015625
40,0.5263157894736843,0.8333333333333334,0.6451612903225807,0.015625
41,0.5555555555555556,0.6,0.576923076923077,0.0
42,0.47619047619047616,0.5,0.4878048780487805,0.015625
43,0.7692307692307692,0.6,0.6741573033707864,0.0
44,0.7692307692307692,0.6666666666666667,0.7142857142857144,0.015625
45,0.5263157894736843,0.6,0.5607476635514019,0.0
46,0.7142857142857143,0.6,0.6521739130434783,0.015625
47,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.0
48,0.4444444444444444,0.5,0.47058823529411764,0.015625
49,0.5,1.0,0.6666666666666666,0.0
50,0.6,0.75,0.6666666666666665,0.015625
51,0.5555555555555556,0.5,0.5263157894736842,0.015625
52,0.5555555555555556,0.0,0.0,0.0
53,0.625,0.75,0.6818181818181818,0.015625
54,0.7272727272727273,0.75,0.7384615384615384,0.0
55,0.7692307692307692,0.75,0.7594936708860759,0.0
56,0.2941176470588235,1.0,0.45454545454545453,0.03125
57,0.4545454545454546,0.6666666666666667,0.5405405405405406,0.015625
58,0.5263157894736843,0.75,0.6185567010309279,0.015625
59,0.4,0.8,0.5333333333333333,0.015625
60,0.41666666666666663,0.75,0.5357142857142858,0.046875
61,1.0,1.0,1.0,0.0
62,0.5263157894736843,0.75,0.6185567010309279,0.015625
63,0.7692307692307692,1.0,0.8695652173913043,0.0
64,1.0,1.0,1.0,0.015625
65,0.46153846153846156,0.6666666666666667,0.5454545454545456,0.0
66,0.9090909090909091,0.0,0.0,0.0
67,0.41666666666666663,1.0,0.5882352941176471,0.015625
68,0.5333333333333333,0.75,0.6233766233766235,0.015625
69,0.5333333333333333,0.6666666666666667,0.5925925925925926,0.0
70,1.0,1.0,1.0,0.015625
71,0.6,0.6666666666666667,0.6315789473684211,0.0
72,0.6153846153846154,0.6666666666666667,0.64,0.0
73,0.7272727272727273,0.75,0.7384615384615384,0.015625
74,0.3846153846153846,0.75,0.5084745762711864,0.015625
75,0.3529411764705882,0.5,0.41379310344827586,0.015625
76,0.5263157894736843,0.75,0.6185567010309279,0.0
77,0.41666666666666663,0.75,0.5357142857142858,0.03125
78,0.8333333333333334,1.0,0.9090909090909091,0.0
79,0.47619047619047616,0.75,0.58252427184466,0.015625
80,0.625,1.0,0.7692307692307693,0.0
81,0.5263157894736843,0.75,0.6185567010309279,0.015625
82,0.47619047619047616,1.0,0.6451612903225806,0.015625
83,0.4285714285714286,0.5,0.46153846153846156,0.015625
84,0.5555555555555556,0.75,0.6382978723404256,0.0
85,0.4545454545454546,0.75,0.5660377358490566,0.015625
86,0.6153846153846154,0.75,0.676056338028169,0.015625
87,0.5,0.6666666666666667,0.5714285714285715,0.015625
88,0.5555555555555556,0.75,0.6382978723404256,0.0
89,0.5882352941176471,0.75,0.6593406593406592,0.015625
90,0.46153846153846156,0.6666666666666667,0.5454545454545456,0.0
91,0.5555555555555556,0.75,0.6382978723404256,0.015625
92,0.5,0.0,0.0,0.015625
93,0.5,0.5,0.5,0.0
94,0.2702702702702703,0.6666666666666667,0.38461538461538464,0.03125
95,0.6,0.6666666666666667,0.6315789473684211,0.015625
96,0.6153846153846154,0.75,0.676056338028169,0.0
97,0.32258064516129037,0.75,0.45112781954887216,0.03125
98,0.5555555555555556,0.8,0.6557377049180328,0.015625
99,0.5,0.75,0.6,0.0
100,0.6666666666666667,0.75,0.7058823529411764,0.015625
