n°_evaluation,fitness,precision,f-measure,time
0,,,,0.015625
1,0.8181818181818181,0.33333333333333337,0.47368421052631593,0.015625
2,0.8,0.21052631578947367,0.3333333333333333,0.046875
3,1.0,0.23529411764705888,0.38095238095238104,0.015625
4,1.0,0.5,0.6666666666666666,0.0
5,0.8421052631578947,0.2857142857142857,0.4266666666666667,0.0625
6,0.8571428571428572,0.33333333333333337,0.48,0.015625
7,0.8571428571428572,0.2727272727272727,0.41379310344827586,0.015625
8,0.8333333333333334,0.22499999999999998,0.3543307086614173,0.015625
9,0.8571428571428572,0.0,0.0,0.015625
10,0.6153846153846154,0.6666666666666667,0.64,0.015625
11,0.7222222222222222,0.0,0.0,0.015625
12,0.8823529411764706,0.22499999999999998,0.35856573705179273,0.03125
13,0.875,0.22499999999999998,0.35795454545454536,0.015625
14,0.75,0.0,0.0,0.03125
15,0.8666666666666667,0.22499999999999998,0.3572519083969465,0.015625
16,1.0,0.33333333333333337,0.5,0.0
17,0.8181818181818181,0.6666666666666667,0.7346938775510204,0.015625
18,1.0,0.2592592592592593,0.411764705882353,0.015625
19,0.7916666666666666,0.22499999999999998,0.35040983606557374,0.03125
20,0.8235294117647058,0.23529411764705888,0.36601307189542487,0.0625
21,0.8666666666666667,0.22499999999999998,0.3572519083969465,0.015625
22,0.8823529411764706,0.25,0.38961038961038963,0.03125
23,1.0,1.0,1.0,0.0
24,0.7777777777777778,0.6666666666666667,0.717948717948718,0.015625
25,1.0,0.2222222222222222,0.3636363636363636,0.015625
26,0.6666666666666667,0.5,0.5714285714285715,0.015625
27,1.0,0.2222222222222222,0.3636363636363636,0.015625
28,1.0,0.2777777777777778,0.4347826086956522,0.015625
29,0.8235294117647058,0.2093023255813954,0.3337748344370861,0.015625
30,0.75,0.0,0.0,0.015625
31,0.8181818181818181,0.21212121212121215,0.33689839572192515,0.03125
32,1.0,0.375,0.5454545454545454,0.0
33,1.0,0.25,0.4,0.015625
34,0.8823529411764706,0.19999999999999996,0.3260869565217391,0.03125
35,1.0,0.23076923076923073,0.3749999999999999,0.015625
36,1.0,0.25,0.4,0.015625
37,0.9,0.19999999999999996,0.32727272727272716,0.046875
38,0.8666666666666667,0.20512820512820518,0.3317384370015949,0.03125
39,0.8,0.25,0.38095238095238093,0.0625
40,0.7647058823529411,0.2222222222222222,0.3443708609271523,0.03125
41,0.875,0.19999999999999996,0.3255813953488372,0.03125
42,0.7894736842105263,0.25,0.379746835443038,0.046875
43,1.0,0.21052631578947367,0.34782608695652173,0.015625
44,1.0,0.21052631578947367,0.34782608695652173,0.015625
