n°_evaluation,fitness,precision,f-measure,time
0,,,,0.0
1,0.46153846153846156,0.6666666666666667,0.5454545454545456,0.0
2,0.4545454545454546,0.6,0.5172413793103449,0.015625
3,0.6153846153846154,0.6,0.6075949367088608,0.015625
4,0.75,1.0,0.8571428571428571,0.0
5,0.47619047619047616,0.8333333333333334,0.6060606060606061,0.015625
6,0.8888888888888888,0.8,0.8421052631578948,0.0
7,0.8571428571428572,0.625,0.7228915662650603,0.015625
8,0.6666666666666667,0.5714285714285714,0.6153846153846154,0.015625
9,0.5714285714285714,0.0,0.0,0.0
10,0.46153846153846156,0.6666666666666667,0.5454545454545456,0.015625
11,0.6666666666666667,0.0,0.0,0.015625
12,0.7058823529411764,0.6,0.6486486486486487,0.0
13,0.625,0.6,0.6122448979591836,0.015625
14,0.6,0.0,0.0,0.015625
15,0.6666666666666667,0.6,0.6315789473684211,0.015625
16,1.0,0.7142857142857143,0.8333333333333333,0.0
17,0.5454545454545454,0.6666666666666667,0.6,0.0
18,0.8,0.5714285714285714,0.6666666666666666,0.015625
19,0.6666666666666667,0.5714285714285714,0.6153846153846154,0.015625
20,0.7058823529411764,0.5555555555555556,0.6217616580310881,0.015625
21,0.5333333333333333,0.6,0.5647058823529412,0.015625
22,0.8235294117647058,0.6,0.6942148760330579,0.0
23,1.0,1.0,1.0,0.015625
24,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.0
25,0.7272727272727273,0.6,0.6575342465753425,0.0
26,0.5333333333333333,0.5,0.5161290322580646,0.015625
27,0.7272727272727273,0.6666666666666667,0.6956521739130436,0.0
28,1.0,0.7142857142857143,0.8333333333333333,0.015625
29,0.5882352941176471,0.6666666666666667,0.6250000000000001,0.0
30,0.75,0.0,0.0,0.015625
31,0.7272727272727273,0.625,0.6722689075630253,0.0
32,1.0,1.0,1.0,0.015625
33,1.0,0.7142857142857143,0.8333333333333333,0.0
34,0.7058823529411764,0.625,0.6629834254143646,0.015625
35,0.8888888888888888,0.75,0.8135593220338982,0.0
36,0.5454545454545454,0.6666666666666667,0.6,0.0
37,0.7,0.6,0.6461538461538462,0.03125
38,0.6666666666666667,0.5555555555555556,0.6060606060606061,0.0
39,0.5,0.5,0.5,0.015625
40,0.7058823529411764,0.5555555555555556,0.6217616580310881,0.015625
41,0.625,0.6,0.6122448979591836,0.046875
42,0.631578947368421,0.5,0.5581395348837209,0.015625
43,0.7272727272727273,0.6,0.6575342465753425,0.0
44,0.7272727272727273,0.5714285714285714,0.64,0.015625
45,0.7058823529411764,0.6,0.6486486486486487,0.0
46,0.6666666666666667,0.6,0.6315789473684211,0.015625
47,0.8888888888888888,0.625,0.7339449541284404,0.0
48,0.5,0.5,0.5,0.015625
49,0.6666666666666667,0.625,0.6451612903225807,0.015625
50,0.75,0.6,0.6666666666666665,0.0
51,0.625,0.5,0.5555555555555556,0.015625
52,0.625,0.0,0.0,0.0
53,0.7142857142857143,0.5555555555555556,0.6250000000000001,0.015625
54,0.8888888888888888,0.5714285714285714,0.6956521739130435,0.0
55,0.7272727272727273,0.6,0.6575342465753425,0.015625
56,0.75,0.625,0.6818181818181818,0.03125
57,0.5,0.6666666666666667,0.5714285714285715,0.015625
58,0.7058823529411764,0.6,0.6486486486486487,0.015625
59,0.6956521739130435,0.6666666666666667,0.6808510638297873,0.015625
60,0.7272727272727273,0.6,0.6575342465753425,0.015625
61,1.0,0.8333333333333334,0.9090909090909091,0.015625
62,0.5882352941176471,0.6,0.5940594059405941,0.015625
63,0.7272727272727273,0.625,0.6722689075630253,0.0
64,1.0,0.8333333333333334,0.9090909090909091,0.0
65,0.5454545454545454,0.6666666666666667,0.6,0.015625
66,0.8888888888888888,0.0,0.0,0.0
67,0.6363636363636364,0.625,0.6306306306306306,0.015625
68,0.6153846153846154,0.5555555555555556,0.583941605839416,0.015625
69,0.46153846153846156,0.6666666666666667,0.5454545454545456,0.0
70,1.0,0.8333333333333334,0.9090909090909091,0.015625
71,0.75,0.6666666666666667,0.7058823529411764,0.0
72,0.5454545454545454,0.6666666666666667,0.6,0.0
73,0.8888888888888888,0.5714285714285714,0.6956521739130435,0.015625
74,0.6666666666666667,0.6,0.6315789473684211,0.015625
75,0.4,0.5,0.4444444444444445,0.015625
76,0.7058823529411764,0.6,0.6486486486486487,0.0
77,0.6363636363636364,0.6,0.6176470588235293,0.03125
78,0.8,0.625,0.7017543859649122,0.0
79,0.631578947368421,0.5714285714285714,0.6,0.015625
80,0.7142857142857143,0.625,0.6666666666666666,0.015625
81,0.7058823529411764,0.6,0.6486486486486487,0.015625
82,0.631578947368421,0.625,0.6282722513089005,0.046875
83,0.5,0.5,0.5,0.0
84,0.625,0.5714285714285714,0.5970149253731343,0.015625
85,0.7,0.6,0.6461538461538462,0.015625
86,0.7272727272727273,0.5714285714285714,0.64,0.0
87,0.5555555555555556,0.6666666666666667,0.6060606060606061,0.015625
88,0.625,0.6,0.6122448979591836,0.015625
89,0.6666666666666667,0.5555555555555556,0.6060606060606061,0.015625
90,0.5454545454545454,0.6666666666666667,0.6,0.0
91,0.5,0.6,0.5454545454545454,0.015625
92,0.6666666666666667,0.0,0.0,0.0
93,0.6,0.5,0.5454545454545454,0.015625
94,0.6857142857142857,0.6666666666666667,0.676056338028169,0.046875
95,0.75,0.6666666666666667,0.7058823529411764,0.015625
96,0.7272727272727273,0.5555555555555556,0.6299212598425198,0.015625
97,0.7586206896551724,0.5714285714285714,0.6518518518518518,0.03125
98,0.625,0.6666666666666667,0.6451612903225807,0.015625
99,0.6666666666666667,0.6,0.6315789473684211,0.015625
100,0.8,0.5555555555555556,0.6557377049180328,0.0
101,0.6666666666666667,0.6,0.6315789473684211,0.015625
102,0.6666666666666667,0.6,0.6315789473684211,0.0
103,0.6153846153846154,0.6,0.6075949367088608,0.015625
104,0.631578947368421,0.6,0.6153846153846154,0.015625
105,0.7142857142857143,0.6,0.6521739130434783,0.0
106,0.6666666666666667,0.6,0.6315789473684211,0.03125
107,0.5263157894736843,0.0,0.0,0.0
108,0.5714285714285714,0.6,0.5853658536585366,0.015625
109,0.72,0.5555555555555556,0.6271777003484321,0.03125
110,0.625,0.6,0.6122448979591836,0.0
111,0.47058823529411764,0.5,0.48484848484848486,0.015625
112,0.6,0.625,0.6122448979591836,0.015625
113,0.625,0.6666666666666667,0.6451612903225807,0.015625
114,0.5714285714285714,0.0,0.0,0.0
115,0.6666666666666667,0.5555555555555556,0.6060606060606061,0.015625
116,0.5333333333333333,0.5,0.5161290322580646,0.015625
117,0.6153846153846154,0.5,0.5517241379310345,0.015625
118,0.5882352941176471,0.625,0.6060606060606061,0.015625
119,0.5,0.6,0.5454545454545454,0.046875
120,1.0,0.7142857142857143,0.8333333333333333,0.0
121,0.5555555555555556,0.6,0.576923076923077,0.015625
122,0.6666666666666667,0.625,0.6451612903225807,0.015625
123,0.7272727272727273,0.625,0.6722689075630253,0.0
124,0.7272727272727273,0.6,0.6575342465753425,0.0
125,0.6666666666666667,0.6,0.6315789473684211,0.015625
126,0.7272727272727273,0.5714285714285714,0.64,0.015625
127,0.5,0.6666666666666667,0.5714285714285715,0.015625
128,0.6666666666666667,0.5555555555555556,0.6060606060606061,0.0
129,0.6666666666666667,0.5555555555555556,0.6060606060606061,0.015625
130,0.8333333333333334,0.625,0.7142857142857143,0.015625
131,0.736842105263158,0.5555555555555556,0.6334841628959276,0.015625
132,0.6153846153846154,0.6666666666666667,0.64,0.0
133,0.7058823529411764,0.625,0.6629834254143646,0.015625
134,0.8,0.625,0.7017543859649122,0.0
135,1.0,0.8333333333333334,0.9090909090909091,0.015625
136,0.6666666666666667,0.6,0.6315789473684211,0.0
137,1.0,1.0,1.0,0.015625
138,0.75,0.6666666666666667,0.7058823529411764,0.0
139,0.875,0.5555555555555556,0.6796116504854369,0.015625
140,0.6666666666666667,0.5714285714285714,0.6153846153846154,0.03125
141,0.7058823529411764,0.6,0.6486486486486487,0.015625
142,0.6666666666666667,0.625,0.6451612903225807,0.015625
143,0.5882352941176471,0.6,0.5940594059405941,0.0
144,0.8,0.5555555555555556,0.6557377049180328,0.015625
145,1.0,1.0,1.0,0.0
146,0.4864864864864865,0.6,0.5373134328358209,0.046875
147,0.7058823529411764,0.6,0.6486486486486487,0.0
148,0.6153846153846154,0.6,0.6075949367088608,0.015625
149,0.6428571428571428,0.6,0.6206896551724137,0.03125
150,0.6,0.0,0.0,0.0
151,0.6153846153846154,0.5,0.5517241379310345,0.03125
152,1.0,1.0,1.0,0.0
153,0.631578947368421,0.625,0.6282722513089005,0.015625
154,0.6666666666666667,0.625,0.6451612903225807,0.015625
155,0.5,0.5,0.5,0.0
156,0.5454545454545454,0.6666666666666667,0.6,0.015625
157,0.6666666666666667,0.5555555555555556,0.6060606060606061,0.046875
158,1.0,0.8333333333333334,0.9090909090909091,0.0
159,0.6,0.6666666666666667,0.6315789473684211,0.0
160,0.6666666666666667,0.6,0.6315789473684211,0.015625
161,0.7142857142857143,0.625,0.6666666666666666,0.015625
162,0.6,0.5,0.5454545454545454,0.015625
163,0.5625,0.5,0.5294117647058824,0.03125
164,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.015625
165,0.7272727272727273,0.5714285714285714,0.64,0.0
166,0.5,0.5,0.5,0.015625
167,1.0,1.0,1.0,0.015625
168,0.6666666666666667,0.5714285714285714,0.6153846153846154,0.0
169,0.4,0.0,0.0,0.015625
170,0.7333333333333334,0.6,0.6599999999999999,0.03125
171,0.8235294117647058,0.6666666666666667,0.736842105263158,0.078125
172,0.75,0.6,0.6666666666666665,0.03125
173,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.0
174,0.6153846153846154,0.5714285714285714,0.5925925925925927,0.015625
175,0.8,0.625,0.7017543859649122,0.0
176,0.6666666666666667,0.625,0.6451612903225807,0.015625
177,0.6206896551724138,0.6,0.6101694915254238,0.0625
178,0.7142857142857143,0.6,0.6521739130434783,0.03125
179,0.5714285714285714,0.6,0.5853658536585366,0.046875
180,0.5555555555555556,0.5,0.5263157894736842,0.0
181,1.0,0.8333333333333334,0.9090909090909091,0.015625
182,0.5714285714285714,0.6,0.5853658536585366,0.015625
183,0.7741935483870968,0.625,0.69164265129683,0.03125
184,0.5714285714285714,0.6,0.5853658536585366,0.015625
185,0.6666666666666667,0.6,0.6315789473684211,0.0
186,0.5882352941176471,0.5714285714285714,0.5797101449275363,0.015625
187,0.6086956521739131,0.6,0.6043165467625898,0.03125
188,0.47058823529411764,0.6666666666666667,0.5517241379310346,0.0
189,0.7,0.6,0.6461538461538462,0.015625
190,0.7407407407407407,0.625,0.6779661016949152,0.03125
191,1.0,0.8333333333333334,0.9090909090909091,0.0
192,0.5454545454545454,0.6666666666666667,0.6,0.03125
193,0.6,0.6666666666666667,0.6315789473684211,0.015625
194,0.782608695652174,0.6666666666666667,0.72,0.015625
195,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.015625
196,0.8,0.6666666666666667,0.7272727272727274,0.09375
197,1.0,1.0,1.0,0.0
198,1.0,0.8333333333333334,0.9090909090909091,0.0
199,0.631578947368421,0.6,0.6153846153846154,0.015625
200,0.6153846153846154,0.6,0.6075949367088608,0.015625
201,0.625,0.6,0.6122448979591836,0.03125
202,0.9090909090909091,0.625,0.7407407407407406,0.0
203,0.6153846153846154,0.625,0.6201550387596899,0.015625
204,0.5882352941176471,0.5,0.5405405405405405,0.0
205,0.5714285714285714,0.5555555555555556,0.5633802816901409,0.015625
206,0.7142857142857143,0.6,0.6521739130434783,0.015625
207,0.6666666666666667,0.6,0.6315789473684211,0.0
208,0.6666666666666667,0.5555555555555556,0.6060606060606061,0.015625
209,0.6086956521739131,0.6,0.6043165467625898,0.015625
210,0.7272727272727273,0.6,0.6575342465753425,0.015625
211,0.6666666666666667,0.6,0.6315789473684211,0.0
212,0.6363636363636364,0.5555555555555556,0.5932203389830508,0.03125
