n°_evaluation,fitness,precision,f-measure,time
0,,,,0.0
1,0.8181818181818181,0.6666666666666667,0.7346938775510204,0.015625
2,0.55,0.41666666666666663,0.47413793103448276,0.015625
3,1.0,0.4444444444444444,0.6153846153846153,0.015625
4,1.0,1.0,1.0,0.0
5,0.5263157894736843,0.33333333333333337,0.4081632653061225,0.03125
6,0.8571428571428572,0.4,0.5454545454545455,0.0
7,0.6428571428571428,0.33333333333333337,0.4390243902439025,0.0625
8,0.6666666666666667,0.34782608695652173,0.4571428571428572,0.015625
9,0.7857142857142857,0.0,0.0,0.015625
10,0.6153846153846154,0.6666666666666667,0.64,0.015625
11,0.5,0.0,0.0,0.015625
12,0.7058823529411764,0.42105263157894735,0.5274725274725274,0.015625
13,0.6875,0.36363636363636365,0.47567567567567565,0.03125
14,0.44999999999999996,0.0,0.0,0.015625
15,0.7333333333333334,0.41666666666666663,0.531400966183575,0.015625
16,1.0,0.3125,0.47619047619047616,0.015625
17,0.8181818181818181,0.6666666666666667,0.7346938775510204,0.015625
18,1.0,0.33333333333333337,0.5,0.0
19,0.5,0.33333333333333337,0.4,0.046875
20,0.6470588235294117,0.30434782608695654,0.4139784946236559,0.015625
21,0.7333333333333334,0.36363636363636365,0.48618784530386744,0.015625
22,0.6470588235294117,0.38888888888888884,0.4858044164037854,0.0625
23,1.0,1.0,1.0,0.0
24,0.7777777777777778,0.6666666666666667,0.717948717948718,0.015625
25,0.8181818181818181,0.33333333333333337,0.47368421052631593,0.015625
26,0.6,0.5,0.5454545454545454,0.015625
27,1.0,0.36363636363636365,0.5333333333333333,0.015625
28,1.0,0.26315789473684215,0.41666666666666674,0.0
29,0.6470588235294117,0.36363636363636365,0.4656084656084655,0.03125
30,0.75,0.0,0.0,0.015625
31,0.9090909090909091,0.16666666666666663,0.2816901408450703,0.03125
32,1.0,0.19999999999999996,0.33333333333333326,0.0
33,1.0,0.1785714285714286,0.3030303030303031,0.015625
34,0.7647058823529411,0.17500000000000004,0.2848200312989046,0.046875
35,0.8888888888888888,0.1515151515151515,0.2588996763754045,0.015625
36,1.0,0.25806451612903225,0.41025641025641024,0.015625
37,0.65,0.23809523809523814,0.34852546916890087,0.109375
38,0.7333333333333334,0.21212121212121215,0.3290598290598291,0.09375
39,0.65,0.09090909090909094,0.15950920245398778,0.09375
40,0.5882352941176471,0.1785714285714286,0.27397260273972607,0.046875
41,0.6875,0.23809523809523814,0.35369774919614155,0.109375
42,0.6842105263157895,0.23529411764705888,0.3501683501683502,0.171875
43,0.8181818181818181,0.23809523809523814,0.36885245901639346,0.078125
44,1.0,0.22857142857142854,0.3720930232558139,0.015625
45,0.6470588235294117,0.23809523809523814,0.34810126582278483,0.125
46,0.9166666666666666,0.23529411764705888,0.3744680851063831,0.03125
47,1.0,0.2068965517241379,0.3428571428571428,0.015625
48,0.6875,0.16666666666666663,0.26829268292682923,0.015625
49,0.7222222222222222,0.23076923076923073,0.3497757847533632,0.03125
50,0.75,0.19999999999999996,0.31578947368421045,0.015625
51,0.6875,0.11111111111111116,0.19130434782608702,0.046875
52,0.8125,0.16000000000000003,0.2673521850899743,0.03125
53,0.7857142857142857,0.19999999999999996,0.3188405797101449,0.015625
54,1.0,0.24,0.3870967741935484,0.015625
55,0.7272727272727273,0.1875,0.29813664596273287,0.015625
56,0.84375,0.19999999999999996,0.3233532934131736,0.078125
57,0.7,0.16666666666666663,0.26923076923076916,0.046875
58,0.7647058823529411,0.1875,0.30115830115830117,0.046875
59,0.782608695652174,0.19999999999999996,0.3185840707964602,0.078125
60,0.7727272727272727,0.1875,0.3017751479289941,0.046875
61,1.0,0.23809523809523814,0.3846153846153847,0.015625
62,0.7058823529411764,0.1875,0.2962962962962963,0.03125
63,1.0,0.25806451612903225,0.41025641025641024,0.0
64,1.0,0.23809523809523814,0.3846153846153847,0.015625
65,0.9090909090909091,0.25,0.392156862745098,0.015625
66,1.0,0.19999999999999996,0.33333333333333326,0.0
67,0.7727272727272727,0.19999999999999996,0.3177570093457944,0.078125
68,0.9230769230769231,0.2222222222222222,0.35820895522388063,0.015625
69,0.8461538461538461,0.2222222222222222,0.352,0.015625
70,1.0,0.23809523809523814,0.3846153846153847,0.015625
71,1.0,0.25,0.4,0.015625
72,0.8181818181818181,0.2222222222222222,0.34951456310679613,0.015625
73,1.0,0.2222222222222222,0.3636363636363636,0.015625
74,0.5833333333333333,0.15000000000000002,0.23863636363636367,0.09375
75,0.7333333333333334,0.15000000000000002,0.24905660377358493,0.046875
76,0.7058823529411764,0.15000000000000002,0.24742268041237117,0.0625
77,0.6818181818181819,0.19999999999999996,0.3092783505154639,0.078125
78,1.0,0.23333333333333328,0.3783783783783783,0.015625
79,0.631578947368421,0.19999999999999996,0.30379746835443033,0.078125
80,0.7142857142857143,0.1724137931034483,0.2777777777777778,0.0625
81,0.7058823529411764,0.15000000000000002,0.24742268041237117,0.0625
82,0.631578947368421,0.1875,0.2891566265060241,0.078125
83,0.9166666666666666,0.2222222222222222,0.35772357723577236,0.03125
84,0.6875,0.19999999999999996,0.3098591549295774,0.03125
85,0.7,0.19354838709677424,0.3032490974729242,0.078125
86,0.8181818181818181,0.19999999999999996,0.32142857142857134,0.015625
87,0.6666666666666667,0.23076923076923073,0.3428571428571428,0.0625
88,0.6875,0.15000000000000002,0.24626865671641796,0.0625
89,0.6666666666666667,0.19354838709677424,0.3000000000000001,0.046875
90,0.8181818181818181,0.24,0.3711340206185567,0.015625
91,0.6875,0.19354838709677424,0.3020594965675058,0.046875
92,0.6666666666666667,0.0,0.0,0.046875
93,0.9,0.2142857142857143,0.34615384615384615,0.015625
94,0.5428571428571429,0.24,0.3328467153284672,0.1875
95,1.0,0.23809523809523814,0.3846153846153847,0.015625
96,0.8181818181818181,0.19354838709677424,0.31304347826086965,0.015625
97,0.5862068965517242,0.19999999999999996,0.29824561403508765,0.125
98,0.6875,0.21212121212121215,0.32421052631578956,0.046875
99,0.6666666666666667,0.19354838709677424,0.3000000000000001,0.078125
100,1.0,0.24137931034482762,0.38888888888888895,0.015625
101,0.7333333333333334,0.21875,0.33698030634573306,0.046875
102,0.6666666666666667,0.15000000000000002,0.2448979591836735,0.0625
103,0.8461538461538461,0.19999999999999996,0.32352941176470584,0.03125
104,0.631578947368421,0.15000000000000002,0.24242424242424243,0.0625
105,0.7142857142857143,0.19999999999999996,0.31249999999999994,0.046875
106,0.625,0.15000000000000002,0.24193548387096778,0.078125
107,0.5789473684210527,0.15000000000000002,0.23826714801444046,0.0625
108,0.7857142857142857,0.19354838709677424,0.3105882352941177,0.03125
109,0.64,0.19354838709677424,0.2972136222910218,0.15625
110,0.6875,0.19999999999999996,0.3098591549295774,0.046875
111,0.7058823529411764,0.2142857142857143,0.3287671232876712,0.0625
112,0.6,0.1875,0.2857142857142857,0.078125
113,0.6875,0.1875,0.29464285714285715,0.0625
114,0.7142857142857143,0.09090909090909094,0.1612903225806452,0.015625
115,0.7333333333333334,0.19354838709677424,0.3062645011600929,0.0625
116,0.7333333333333334,0.18181818181818177,0.2913907284768211,0.046875
117,0.5384615384615384,0.09090909090909094,0.1555555555555556,0.109375
118,0.7647058823529411,0.19999999999999996,0.31707317073170727,0.078125
119,0.75,0.19354838709677424,0.30769230769230776,0.0625
120,1.0,0.20833333333333337,0.3448275862068966,0.0
121,0.6111111111111112,0.15000000000000002,0.24087591240875916,0.0625
122,0.9166666666666666,0.21212121212121215,0.3445190156599553,0.03125
123,0.9090909090909091,0.21212121212121215,0.34398034398034405,0.015625
124,0.8181818181818181,0.15000000000000002,0.25352112676056343,0.03125
125,0.6666666666666667,0.15000000000000002,0.2448979591836735,0.078125
126,0.8181818181818181,0.19999999999999996,0.32142857142857134,0.03125
127,0.6,0.23076923076923073,0.3333333333333333,0.0625
128,0.9166666666666666,0.25,0.3928571428571429,0.03125
129,0.6666666666666667,0.19354838709677424,0.3000000000000001,0.0625
