n°_evaluation,fitness,precision,f-measure,time
0,,,,0.015625
1,1.0,0.24242424242424243,0.3902439024390244,0.015625
2,0.6818181818181819,0.25806451612903225,0.374414976599064,0.03125
3,1.0,0.24242424242424243,0.3902439024390244,0.015625
4,0.75,0.2142857142857143,0.33333333333333337,0.0
5,0.5714285714285714,0.2068965517241379,0.30379746835443033,0.046875
6,0.8888888888888888,0.21052631578947367,0.3404255319148936,0.015625
7,0.6875,0.33333333333333337,0.4489795918367347,0.03125
8,0.75,0.36,0.48648648648648657,0.03125
9,0.875,0.0,0.0,0.0
10,0.7333333333333334,0.6666666666666667,0.6984126984126985,0.015625
11,0.55,0.0,0.0,0.015625
12,0.7894736842105263,0.36,0.49450549450549447,0.03125
13,0.8333333333333334,0.3913043478260869,0.5325443786982248,0.0625
14,0.5909090909090908,0.0,0.0,0.03125
15,0.8823529411764706,0.4285714285714286,0.576923076923077,0.015625
16,1.0,0.41666666666666663,0.5882352941176471,0.015625
17,0.8461538461538461,0.6666666666666667,0.7457627118644069,0.0
18,1.0,0.368421052631579,0.5384615384615385,0.015625
19,0.5769230769230769,0.36,0.4433497536945813,0.046875
20,0.736842105263158,0.31999999999999995,0.4462151394422311,0.046875
21,0.8823529411764706,0.36,0.5113636363636364,0.03125
22,0.6842105263157895,0.35,0.4631043256997455,0.03125
23,0.75,1.0,0.8571428571428571,0.0
24,0.8181818181818181,0.6666666666666667,0.7346938775510204,0.015625
25,1.0,0.34782608695652173,0.5161290322580645,0.015625
26,0.7647058823529411,0.5,0.6046511627906976,0.015625
27,1.0,0.2962962962962963,0.45714285714285713,0.015625
28,1.0,0.2941176470588235,0.45454545454545453,0.015625
29,0.7894736842105263,0.30000000000000004,0.4347826086956522,0.03125
30,0.6,0.0,0.0,0.015625
31,0.9230769230769231,0.17500000000000004,0.2942206654991244,0.03125
32,0.75,0.1428571428571429,0.24000000000000007,0.0
33,1.0,0.16666666666666663,0.2857142857142857,0.015625
34,0.7894736842105263,0.19999999999999996,0.3191489361702127,0.09375
