n°_evaluation,fitness,precision,f-measure,time
0,,,,0.0
1,0.5454545454545454,0.6666666666666667,0.6,0.015625
2,0.30000000000000004,0.5,0.37500000000000006,0.015625
3,0.5454545454545454,0.47058823529411764,0.5052631578947367,0.015625
4,1.0,1.0,1.0,0.0
5,0.3157894736842105,0.375,0.34285714285714286,0.03125
6,0.8571428571428572,0.6666666666666667,0.75,0.0
7,0.4285714285714286,0.375,0.4,0.015625
8,0.33333333333333337,0.5,0.4,0.015625
9,0.4285714285714286,0.0,0.0,0.015625
10,0.46153846153846156,0.6666666666666667,0.5454545454545456,0.0
11,0.33333333333333337,0.0,0.0,0.015625
12,0.3529411764705882,0.3913043478260869,0.37113402061855666,0.03125
13,0.375,0.5,0.42857142857142855,0.015625
14,0.19999999999999996,0.0,0.0,0.015625
15,0.4,0.5,0.4444444444444445,0.015625
16,0.75,0.625,0.6818181818181818,0.0
17,0.5454545454545454,0.6666666666666667,0.6,0.015625
18,0.6,0.5,0.5454545454545454,0.0
19,0.25,0.5,0.3333333333333333,0.0625
20,0.3529411764705882,0.4444444444444444,0.3934426229508196,0.03125
21,0.4,0.5,0.4444444444444445,0.0
22,0.3529411764705882,0.4375,0.3906976744186046,0.03125
23,1.0,1.0,1.0,0.0
24,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.0
25,0.5454545454545454,0.5,0.5217391304347826,0.015625
26,0.2666666666666667,0.5,0.3478260869565218,0.015625
27,0.5454545454545454,0.38095238095238093,0.4485981308411215,0.0
28,0.75,0.625,0.6818181818181818,0.015625
29,0.3529411764705882,0.36,0.3564356435643564,0.03125
30,0.75,0.0,0.0,0.0
31,0.5454545454545454,0.4545454545454546,0.49586776859504134,0.015625
32,1.0,1.0,1.0,0.0
33,0.75,0.4545454545454546,0.5660377358490566,0.0
34,0.3529411764705882,0.4545454545454546,0.3973509933774835,0.03125
35,0.6666666666666667,0.4545454545454546,0.5405405405405406,0.0
36,0.5454545454545454,0.6666666666666667,0.6,0.015625
37,0.30000000000000004,0.5,0.37500000000000006,0.015625
38,0.4,0.3571428571428571,0.3773584905660377,0.015625
39,0.30000000000000004,0.5,0.37500000000000006,0.015625
40,0.3529411764705882,0.375,0.3636363636363636,0.015625
41,0.375,0.5,0.42857142857142855,0.015625
42,0.3157894736842105,0.5,0.3870967741935484,0.046875
43,0.5454545454545454,0.5,0.5217391304347826,0.015625
44,0.5454545454545454,0.38095238095238093,0.4485981308411215,0.015625
45,0.3529411764705882,0.5,0.41379310344827586,0.015625
46,0.5,0.40909090909090906,0.44999999999999996,0.015625
47,0.6666666666666667,0.4545454545454546,0.5405405405405406,0.0
48,0.25,0.5,0.3333333333333333,0.015625
49,0.33333333333333337,0.4545454545454546,0.38461538461538464,0.015625
50,0.75,0.5,0.6,0.015625
51,0.375,0.5,0.42857142857142855,0.0
52,0.375,0.0,0.0,0.015625
53,0.4285714285714286,0.3571428571428571,0.38961038961038963,0.015625
54,0.6666666666666667,0.4,0.5,0.015625
55,0.5454545454545454,0.47058823529411764,0.5052631578947367,0.0
56,0.1875,0.4545454545454546,0.26548672566371684,0.0625
57,0.30000000000000004,0.6666666666666667,0.4137931034482759,0.015625
58,0.3529411764705882,0.4117647058823529,0.38009049773755654,0.015625
59,0.26086956521739135,0.5,0.3428571428571429,0.0625
60,0.2727272727272727,0.5,0.3529411764705882,0.015625
61,0.75,0.625,0.6818181818181818,0.015625
62,0.3529411764705882,0.5,0.41379310344827586,0.0
63,0.5454545454545454,0.4545454545454546,0.49586776859504134,0.015625
64,0.75,0.625,0.6818181818181818,0.015625
65,0.5454545454545454,0.6666666666666667,0.6,0.0
66,0.6666666666666667,0.0,0.0,0.015625
67,0.2727272727272727,0.4545454545454546,0.3409090909090909,0.015625
68,0.46153846153846156,0.375,0.41379310344827586,0.015625
69,0.46153846153846156,0.6666666666666667,0.5454545454545456,0.015625
70,0.75,0.625,0.6818181818181818,0.0
71,0.75,0.6666666666666667,0.7058823529411764,0.0
72,0.5454545454545454,0.6666666666666667,0.6,0.015625
73,0.6666666666666667,0.4,0.5,0.015625
74,0.25,0.5,0.3333333333333333,0.015625
75,0.2666666666666667,0.5,0.3478260869565218,0.015625
76,0.3529411764705882,0.5,0.41379310344827586,0.015625
77,0.2727272727272727,0.4444444444444444,0.3380281690140845,0.03125
78,0.6,0.5384615384615384,0.5675675675675675,0.015625
79,0.3157894736842105,0.36,0.3364485981308411,0.0625
80,0.4285714285714286,0.4545454545454546,0.44117647058823534,0.015625
81,0.3529411764705882,0.5,0.41379310344827586,0.015625
82,0.3157894736842105,0.4545454545454546,0.37267080745341613,0.015625
83,0.5,0.5,0.5,0.015625
84,0.375,0.33333333333333337,0.3529411764705882,0.015625
85,0.30000000000000004,0.4285714285714286,0.35294117647058826,0.03125
86,0.5454545454545454,0.38095238095238093,0.4485981308411215,0.015625
87,0.33333333333333337,0.6666666666666667,0.44444444444444453,0.015625
88,0.375,0.5,0.42857142857142855,0.015625
89,0.4,0.3571428571428571,0.3773584905660377,0.015625
90,0.5454545454545454,0.6666666666666667,0.6,0.015625
91,0.375,0.4285714285714286,0.4,0.015625
92,0.33333333333333337,0.0,0.0,0.015625
93,0.6,0.5,0.5454545454545454,0.0
94,0.17142857142857137,0.6666666666666667,0.27272727272727265,0.078125
95,0.75,0.6666666666666667,0.7058823529411764,0.015625
96,0.5454545454545454,0.3571428571428571,0.43165467625899273,0.0
97,0.2068965517241379,0.36,0.2627737226277372,0.078125
98,0.375,0.5,0.42857142857142855,0.015625
99,0.33333333333333337,0.4666666666666667,0.38888888888888895,0.015625
100,0.6,0.4375,0.5060240963855421,0.015625
101,0.4,0.4375,0.41791044776119407,0.015625
102,0.33333333333333337,0.5,0.4,0.015625
