n°_evaluation,fitness,precision,f-measure,time
0,,,,0.015625
1,0.7,0.5,0.5833333333333334,0.015625
2,0.368421052631579,0.375,0.37168141592920356,0.046875
3,0.9,0.4285714285714286,0.5806451612903225,0.015625
4,1.0,0.75,0.8571428571428571,0.015625
5,0.33333333333333337,0.36363636363636365,0.3478260869565218,0.015625
6,1.0,0.5,0.6666666666666666,0.0
7,0.46153846153846156,0.36363636363636365,0.4067796610169492,0.015625
8,0.47058823529411764,0.4444444444444444,0.45714285714285713,0.046875
9,0.6153846153846154,0.0,0.0,0.0
10,0.5,0.5,0.5,0.015625
11,0.3529411764705882,0.0,0.0,0.03125
12,0.4375,0.4,0.41791044776119407,0.03125
13,0.4666666666666667,0.375,0.4158415841584158,0.03125
14,0.3157894736842105,0.0,0.0,0.03125
15,0.5,0.375,0.42857142857142855,0.03125
16,0.8571428571428572,0.5555555555555556,0.6741573033707865,0.046875
17,0.7,0.5,0.5833333333333334,0.015625
18,0.7777777777777778,0.4444444444444444,0.5656565656565655,0.0
19,0.30434782608695654,0.4444444444444444,0.36129032258064514,0.0625
20,0.5,0.41666666666666663,0.45454545454545453,0.015625
21,0.5714285714285714,0.375,0.4528301886792453,0.03125
22,0.4375,0.4666666666666667,0.45161290322580644,0.03125
23,1.0,0.75,0.8571428571428571,0.0
24,0.625,0.5,0.5555555555555556,0.015625
25,0.7,0.375,0.48837209302325574,0.015625
26,0.4285714285714286,0.33333333333333337,0.375,0.03125
27,0.9,0.4,0.5538461538461539,0.0
28,0.8571428571428572,0.5555555555555556,0.6741573033707865,0.015625
29,0.5625,0.4,0.4675324675324675,0.03125
30,0.7142857142857143,0.0,0.0,0.0
31,0.7,0.4,0.509090909090909,0.015625
32,1.0,0.75,0.8571428571428571,0.0
33,0.8571428571428572,0.36363636363636365,0.5106382978723404,0.015625
34,0.5625,0.4666666666666667,0.5101214574898785,0.015625
35,0.75,0.41666666666666663,0.5357142857142858,0.015625
36,0.7,0.5,0.5833333333333334,0.015625
37,0.368421052631579,0.375,0.37168141592920356,0.0625
38,0.5714285714285714,0.36363636363636365,0.4444444444444444,0.015625
39,0.42105263157894735,0.33333333333333337,0.372093023255814,0.046875
40,0.375,0.36363636363636365,0.3692307692307692,0.015625
41,0.4666666666666667,0.375,0.4158415841584158,0.03125
42,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.046875
43,0.7,0.375,0.48837209302325574,0.015625
44,0.9,0.4,0.5538461538461539,0.015625
45,0.4375,0.375,0.40384615384615385,0.03125
46,0.6363636363636364,0.4,0.4912280701754386,0.015625
47,0.875,0.5,0.6363636363636364,0.015625
48,0.4,0.33333333333333337,0.3636363636363637,0.03125
49,0.5882352941176471,0.47058823529411764,0.5228758169934641,0.03125
50,0.7142857142857143,0.375,0.4918032786885245,0.015625
51,0.4666666666666667,0.33333333333333337,0.38888888888888895,0.015625
52,0.4666666666666667,0.0,0.0,0.03125
53,0.6153846153846154,0.36363636363636365,0.4571428571428572,0.03125
54,0.875,0.4285714285714286,0.5753424657534246,0.0
55,0.9,0.4285714285714286,0.5806451612903225,0.0625
56,0.32258064516129037,0.47058823529411764,0.38277511961722493,0.046875
57,0.3157894736842105,0.5,0.3870967741935484,0.046875
58,0.4375,0.4,0.41791044776119407,0.03125
59,0.31818181818181823,0.4444444444444444,0.37086092715231794,0.046875
60,0.33333333333333337,0.375,0.3529411764705882,0.03125
61,0.8571428571428572,0.5555555555555556,0.6741573033707865,0.015625
62,0.4375,0.375,0.40384615384615385,0.03125
63,0.7,0.4,0.509090909090909,0.015625
64,0.8571428571428572,0.5555555555555556,0.6741573033707865,0.0
65,0.5,0.5,0.5,0.015625
66,0.75,0.0,0.0,0.015625
67,0.47619047619047616,0.47058823529411764,0.47337278106508873,0.078125
68,0.5,0.36363636363636365,0.4210526315789474,0.015625
69,0.6666666666666667,0.5,0.5714285714285715,0.015625
70,0.8571428571428572,0.5555555555555556,0.6741573033707865,0.015625
71,0.7142857142857143,0.5,0.588235294117647,0.0
72,0.8,0.5,0.6153846153846154,0.015625
73,0.875,0.4285714285714286,0.5753424657534246,0.015625
74,0.34782608695652173,0.375,0.3609022556390977,0.0625
75,0.4285714285714286,0.33333333333333337,0.375,0.03125
76,0.4375,0.375,0.40384615384615385,0.03125
77,0.33333333333333337,0.4,0.3636363636363637,0.046875
78,0.6666666666666667,0.5384615384615384,0.5957446808510638,0.0
79,0.5,0.4,0.4444444444444445,0.03125
80,0.46153846153846156,0.41666666666666663,0.437956204379562,0.015625
81,0.4375,0.375,0.40384615384615385,0.03125
82,0.5,0.4666666666666667,0.4827586206896552,0.03125
83,0.5454545454545454,0.33333333333333337,0.41379310344827586,0.03125
84,0.4666666666666667,0.4,0.4307692307692308,0.046875
85,0.4736842105263158,0.4285714285714286,0.45,0.03125
86,0.9,0.4,0.5538461538461539,0.015625
87,0.4117647058823529,0.5,0.45161290322580644,0.046875
88,0.5333333333333333,0.375,0.44036697247706424,0.03125
89,0.5714285714285714,0.36363636363636365,0.4444444444444444,0.015625
90,0.7,0.5,0.5833333333333334,0.015625
91,0.6,0.4285714285714286,0.5000000000000001,0.03125
92,0.4117647058823529,0.0,0.0,0.03125
93,0.6666666666666667,0.33333333333333337,0.44444444444444453,0.0
94,0.17647058823529416,0.5,0.26086956521739135,0.078125
95,0.7142857142857143,0.5,0.588235294117647,0.0
96,0.9,0.36363636363636365,0.5179856115107914,0.015625
97,0.3214285714285714,0.4,0.3564356435643564,0.078125
98,0.4666666666666667,0.4444444444444444,0.45528455284552843,0.03125
99,0.4117647058823529,0.5,0.45161290322580644,0.015625
100,0.6666666666666667,0.36363636363636365,0.47058823529411775,0.015625
101,0.5,0.4666666666666667,0.4827586206896552,0.03125
102,0.4117647058823529,0.375,0.39252336448598135,0.03125
103,0.5833333333333333,0.4,0.47457627118644063,0.015625
104,0.4444444444444444,0.375,0.4067796610169491,0.046875
105,0.5384615384615384,0.4,0.45901639344262296,0.015625
106,0.30434782608695654,0.375,0.336,0.046875
107,0.33333333333333337,0.0,0.0,0.03125
108,0.6923076923076923,0.4285714285714286,0.5294117647058824,0.03125
109,0.33333333333333337,0.36363636363636365,0.3478260869565218,0.046875
110,0.4666666666666667,0.4,0.4307692307692308,0.0625
111,0.375,0.33333333333333337,0.3529411764705882,0.046875
112,0.4736842105263158,0.4666666666666667,0.4701492537313433,0.046875
113,0.5333333333333333,0.4444444444444444,0.4848484848484848,0.03125
114,0.46153846153846156,0.0,0.0,0.015625
115,0.6428571428571428,0.36363636363636365,0.46451612903225803,0.03125
116,0.5714285714285714,0.33333333333333337,0.4210526315789474,0.015625
117,0.31999999999999995,0.33333333333333337,0.32653061224489793,0.09375
118,0.375,0.46153846153846156,0.41379310344827586,0.015625
119,0.6,0.4285714285714286,0.5000000000000001,0.03125
120,0.8571428571428572,0.36363636363636365,0.5106382978723404,0.0
121,0.47058823529411764,0.375,0.41739130434782606,0.03125
122,0.6363636363636364,0.4,0.4912280701754386,0.015625
123,0.7,0.4,0.509090909090909,0.015625
124,0.6,0.375,0.4615384615384615,0.03125
125,0.5,0.375,0.42857142857142855,0.0625
126,0.9,0.4,0.5538461538461539,0.015625
127,0.368421052631579,0.5,0.42424242424242425,0.03125
128,0.5454545454545454,0.36363636363636365,0.43636363636363634,0.015625
129,0.5294117647058824,0.36363636363636365,0.4311377245508982,0.03125
130,0.5454545454545454,0.46153846153846156,0.4999999999999999,0.015625
131,0.38888888888888884,0.36363636363636365,0.37583892617449666,0.03125
132,0.5,0.4444444444444444,0.47058823529411764,0.015625
133,0.625,0.47058823529411764,0.5369127516778524,0.03125
134,0.8888888888888888,0.41666666666666663,0.5673758865248226,0.015625
135,0.8571428571428572,0.5555555555555556,0.6741573033707865,0.0
136,0.4117647058823529,0.375,0.39252336448598135,0.03125
137,1.0,0.75,0.8571428571428571,0.015625
138,0.7142857142857143,0.5,0.588235294117647,0.0
139,0.4,0.36363636363636365,0.380952380952381,0.015625
140,0.3125,0.4,0.3508771929824561,0.109375
141,0.5625,0.4285714285714286,0.4864864864864865,0.0625
142,0.5882352941176471,0.47058823529411764,0.5228758169934641,0.03125
143,0.4375,0.375,0.40384615384615385,0.03125
144,0.6666666666666667,0.36363636363636365,0.47058823529411775,0.015625
145,1.0,0.75,0.8571428571428571,0.0
146,0.3055555555555556,0.4285714285714286,0.3567567567567567,0.234375
147,0.4375,0.375,0.40384615384615385,0.03125
148,0.5833333333333333,0.4,0.47457627118644063,0.015625
149,0.2592592592592593,0.375,0.30656934306569344,0.046875
150,0.5555555555555556,0.0,0.0,0.0
151,0.31999999999999995,0.33333333333333337,0.32653061224489793,0.078125
152,1.0,0.75,0.8571428571428571,0.0
153,0.5555555555555556,0.47058823529411764,0.5095541401273886,0.0625
154,0.7142857142857143,0.47058823529411764,0.5673758865248227,0.03125
155,0.4,0.33333333333333337,0.3636363636363637,0.03125
156,0.6,0.5,0.5454545454545454,0.015625
157,0.6428571428571428,0.36363636363636365,0.46451612903225803,0.03125
158,0.8571428571428572,0.5555555555555556,0.6741573033707865,0.0
159,0.6666666666666667,0.5,0.5714285714285715,0.015625
160,0.44999999999999996,0.4285714285714286,0.43902439024390244,0.03125
161,0.5384615384615384,0.4,0.45901639344262296,0.015625
162,0.368421052631579,0.33333333333333337,0.35000000000000003,0.046875
163,0.25806451612903225,0.33333333333333337,0.2909090909090909,0.09375
164,0.5714285714285714,0.4444444444444444,0.5,0.015625
165,0.9,0.4,0.5538461538461539,0.015625
166,0.30434782608695654,0.33333333333333337,0.31818181818181823,0.0625
167,1.0,0.75,0.8571428571428571,0.0
168,0.5294117647058824,0.4,0.4556962025316456,0.0625
169,0.6666666666666667,0.0,0.0,0.015625
170,0.24137931034482762,0.4,0.30107526881720437,0.046875
171,0.18000000000000005,0.4444444444444444,0.2562277580071175,0.140625
172,0.30434782608695654,0.4,0.34567901234567905,0.046875
173,0.4117647058823529,0.4444444444444444,0.42748091603053434,0.03125
174,0.75,0.4,0.5217391304347827,0.0625
175,0.6666666666666667,0.5384615384615384,0.5957446808510638,0.0
176,0.5882352941176471,0.47058823529411764,0.5228758169934641,0.03125
177,0.3214285714285714,0.375,0.34615384615384615,0.0625
178,0.33333333333333337,0.4285714285714286,0.375,0.046875
179,0.2647058823529411,0.375,0.31034482758620685,0.203125
180,0.3529411764705882,0.33333333333333337,0.34285714285714286,0.046875
181,0.8571428571428572,0.5555555555555556,0.6741573033707865,0.0
182,0.4,0.375,0.38709677419354843,0.046875
183,0.2666666666666667,0.41666666666666663,0.3252032520325203,0.09375
184,0.46153846153846156,0.375,0.41379310344827586,0.03125
185,0.4117647058823529,0.375,0.39252336448598135,0.015625
186,0.5625,0.4,0.4675324675324675,0.03125
187,0.36363636363636365,0.375,0.3692307692307692,0.0625
188,0.375,0.5,0.42857142857142855,0.046875
189,0.368421052631579,0.4,0.3835616438356165,0.03125
190,0.3846153846153846,0.47058823529411764,0.4232804232804232,0.046875
191,0.8571428571428572,0.5555555555555556,0.6741573033707865,0.015625
192,0.33333333333333337,0.5,0.4,0.0625
193,0.368421052631579,0.5,0.42424242424242425,0.046875
194,0.36363636363636365,0.4444444444444444,0.39999999999999997,0.078125
195,0.5454545454545454,0.4444444444444444,0.4897959183673469,0.015625
196,0.15384615384615385,0.5,0.23529411764705882,0.078125
197,1.0,0.75,0.8571428571428571,0.0
198,0.8571428571428572,0.5555555555555556,0.6741573033707865,0.0
199,0.38888888888888884,0.375,0.3818181818181818,0.046875
