n°_evaluation,fitness,precision,f-measure,time
0,,,,0.015625
1,0.75,0.6666666666666667,0.7058823529411764,0.0
2,0.5714285714285714,0.8333333333333334,0.6779661016949152,0.03125
3,0.75,0.6,0.6666666666666665,0.015625
4,0.8571428571428572,1.0,0.9230769230769231,0.0
5,0.55,0.6,0.5739130434782609,0.03125
6,1.0,0.8,0.888888888888889,0.0
7,0.6,0.6,0.6,0.015625
8,0.631578947368421,0.6666666666666667,0.6486486486486487,0.015625
9,0.7333333333333334,0.0,0.0,0.015625
10,0.5,0.6666666666666667,0.5714285714285715,0.0
11,0.5263157894736843,0.0,0.0,0.015625
12,0.5555555555555556,0.6,0.576923076923077,0.03125
13,0.6470588235294117,0.6666666666666667,0.6567164179104478,0.015625
14,0.4285714285714286,0.0,0.0,0.03125
15,0.625,0.8333333333333334,0.7142857142857143,0.015625
16,0.8888888888888888,0.8333333333333334,0.8602150537634408,0.0
17,0.75,0.6666666666666667,0.7058823529411764,0.015625
18,0.7272727272727273,0.6666666666666667,0.6956521739130436,0.0
19,0.52,0.6666666666666667,0.5842696629213484,0.03125
20,0.6111111111111112,0.625,0.6179775280898877,0.015625
21,0.6875,0.6666666666666667,0.676923076923077,0.015625
22,0.6111111111111112,0.6,0.6055045871559633,0.03125
23,0.8571428571428572,1.0,0.9230769230769231,0.0
24,0.6,0.6666666666666667,0.6315789473684211,0.0
25,0.75,0.8333333333333334,0.7894736842105262,0.015625
26,0.5625,0.5,0.5294117647058824,0.015625
27,0.75,0.6,0.6666666666666665,0.0
28,0.8888888888888888,0.8333333333333334,0.8602150537634408,0.015625
29,0.6111111111111112,0.6,0.6055045871559633,0.015625
30,0.6666666666666667,0.0,0.0,0.0
31,0.75,0.6666666666666667,0.7058823529411764,0.015625
32,0.8571428571428572,1.0,0.9230769230769231,0.0
33,0.8888888888888888,0.6,0.7164179104477612,0.0
34,0.7222222222222222,0.6666666666666667,0.6933333333333334,0.015625
35,0.9,0.625,0.7377049180327869,0.0
36,0.75,0.6666666666666667,0.7058823529411764,0.015625
37,0.5238095238095238,0.8333333333333334,0.6432748538011697,0.03125
38,0.5625,0.6,0.5806451612903225,0.015625
39,0.7142857142857143,0.5,0.588235294117647,0.046875
40,0.6111111111111112,0.6,0.6055045871559633,0.015625
41,0.6470588235294117,0.8333333333333334,0.7284768211920529,0.015625
42,0.5,0.5,0.5,0.03125
43,0.75,0.8333333333333334,0.7894736842105262,0.0
44,0.75,0.6,0.6666666666666665,0.015625
45,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.015625
46,0.6923076923076923,0.6,0.6428571428571429,0.015625
47,0.9,0.75,0.8181818181818182,0.0
48,0.5294117647058824,0.5,0.5142857142857143,0.015625
49,0.736842105263158,0.6666666666666667,0.7000000000000001,0.015625
50,0.7777777777777778,0.6,0.6774193548387097,0.015625
51,0.6470588235294117,0.5,0.5641025641025641,0.0
52,0.5294117647058824,0.0,0.0,0.03125
53,0.6,0.6,0.6,0.015625
54,0.9,0.6,0.7200000000000001,0.0
55,0.75,0.6,0.6666666666666665,0.015625
56,0.48484848484848486,0.6666666666666667,0.5614035087719298,0.0625
57,0.47619047619047616,0.6666666666666667,0.5555555555555557,0.015625
58,0.6111111111111112,0.6,0.6055045871559633,0.015625
59,0.5,0.6666666666666667,0.5714285714285715,0.03125
60,0.6086956521739131,0.8333333333333334,0.7035175879396984,0.03125
61,0.8888888888888888,0.8333333333333334,0.8602150537634408,0.015625
62,0.6111111111111112,0.6666666666666667,0.6376811594202899,0.015625
63,0.9166666666666666,0.6666666666666667,0.7719298245614035,0.0
64,0.8888888888888888,0.8333333333333334,0.8602150537634408,0.0
65,0.5,0.6666666666666667,0.5714285714285715,0.015625
66,0.8,0.0,0.0,0.0
67,0.5652173913043479,0.6666666666666667,0.611764705882353,0.078125
68,0.6428571428571428,0.6,0.6206896551724137,0.0
69,0.6428571428571428,0.6666666666666667,0.6545454545454545,0.015625
70,0.8888888888888888,0.8333333333333334,0.8602150537634408,0.0
71,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.0
72,0.75,0.6666666666666667,0.7058823529411764,0.015625
73,0.9,0.6,0.7200000000000001,0.0
74,0.52,0.6666666666666667,0.5842696629213484,0.046875
75,0.4375,0.5,0.4666666666666667,0.015625
76,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.015625
77,0.4347826086956522,0.6,0.5042016806722689,0.03125
78,1.0,0.7777777777777778,0.8750000000000001,0.015625
79,0.6,0.6,0.6,0.015625
80,0.6,0.625,0.6122448979591836,0.015625
81,0.6111111111111112,0.8333333333333334,0.7051282051282051,0.015625
82,0.6,0.6666666666666667,0.6315789473684211,0.03125
83,0.5384615384615384,0.5,0.5185185185185186,0.0
84,0.6470588235294117,0.6,0.6226415094339622,0.015625
85,0.5238095238095238,0.6,0.559322033898305,0.03125
86,0.75,0.6,0.6666666666666665,0.0
87,0.5789473684210527,0.6666666666666667,0.6197183098591549,0.015625
88,0.6470588235294117,0.6666666666666667,0.6567164179104478,0.015625
89,0.5625,0.6,0.5806451612903225,0.03125
90,0.75,0.6666666666666667,0.7058823529411764,0.0
91,0.6470588235294117,0.6,0.6226415094339622,0.015625
92,0.5789473684210527,0.0,0.0,0.015625
93,0.6363636363636364,0.5,0.56,0.0
94,0.41666666666666663,0.6666666666666667,0.5128205128205128,0.078125
95,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.0
96,0.75,0.6,0.6666666666666665,0.015625
97,0.4666666666666667,0.6,0.5249999999999999,0.078125
98,0.7058823529411764,0.6666666666666667,0.6857142857142857,0.015625
99,0.5789473684210527,0.6,0.5892857142857143,0.03125
100,0.8181818181818181,0.6,0.6923076923076923,0.0
101,0.6875,0.6,0.6407766990291262,0.015625
102,0.5789473684210527,0.8333333333333334,0.6832298136645962,0.015625
103,0.6428571428571428,0.6,0.6206896551724137,0.015625
104,0.6,0.6666666666666667,0.6315789473684211,0.015625
105,0.6,0.6,0.6,0.015625
106,0.6,0.8333333333333334,0.6976744186046512,0.03125
107,0.5,0.0,0.0,0.015625
108,0.7333333333333334,0.6,0.6599999999999999,0.015625
109,0.5384615384615384,0.6,0.5675675675675675,0.03125
110,0.5294117647058824,0.6,0.5625,0.015625
111,0.5,0.5,0.5,0.015625
112,0.5714285714285714,0.6666666666666667,0.6153846153846154,0.03125
113,0.6470588235294117,0.6666666666666667,0.6567164179104478,0.015625
114,0.4666666666666667,0.0,0.0,0.015625
115,0.5625,0.6,0.5806451612903225,0.015625
116,0.5,0.5,0.5,0.015625
117,0.5925925925925926,0.5,0.5423728813559322,0.046875
118,0.5555555555555556,0.6666666666666667,0.6060606060606061,0.015625
119,0.6470588235294117,0.6,0.6226415094339622,0.015625
120,0.8888888888888888,0.6,0.7164179104477612,0.0
121,0.631578947368421,0.6666666666666667,0.6486486486486487,0.03125
122,0.8461538461538461,0.6666666666666667,0.7457627118644069,0.0
123,0.75,0.6666666666666667,0.7058823529411764,0.046875
124,0.75,0.8333333333333334,0.7894736842105262,0.0
125,0.5625,0.8333333333333334,0.6716417910447761,0.015625
126,0.75,0.6,0.6666666666666665,0.015625
127,0.4285714285714286,0.6666666666666667,0.5217391304347826,0.03125
128,0.6923076923076923,0.6,0.6428571428571429,0.0
129,0.5789473684210527,0.6,0.5892857142857143,0.015625
130,0.8461538461538461,0.6666666666666667,0.7457627118644069,0.015625
131,0.55,0.6,0.5739130434782609,0.015625
132,0.7857142857142857,0.6666666666666667,0.721311475409836,0.015625
133,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.015625
134,0.8181818181818181,0.625,0.7086614173228346,0.015625
135,0.8888888888888888,0.8333333333333334,0.8602150537634408,0.0
136,0.5789473684210527,0.6666666666666667,0.6197183098591549,0.015625
137,0.8571428571428572,1.0,0.9230769230769231,0.015625
138,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.0
139,0.6470588235294117,0.6,0.6226415094339622,0.015625
140,0.6764705882352942,0.6,0.6359447004608295,0.0625
141,0.6111111111111112,0.6,0.6055045871559633,0.03125
142,0.5789473684210527,0.6666666666666667,0.6197183098591549,0.015625
143,0.6111111111111112,0.6666666666666667,0.6376811594202899,0.015625
144,0.8181818181818181,0.6,0.6923076923076923,0.015625
145,0.8571428571428572,1.0,0.9230769230769231,0.0
146,0.6578947368421053,0.6,0.6276150627615062,0.0625
147,0.6111111111111112,0.6666666666666667,0.6376811594202899,0.03125
148,0.6428571428571428,0.6,0.6206896551724137,0.046875
149,0.48275862068965514,0.8333333333333334,0.611353711790393,0.03125
150,0.5454545454545454,0.0,0.0,0.0
151,0.5925925925925926,0.5,0.5423728813559322,0.046875
152,0.8571428571428572,1.0,0.9230769230769231,0.015625
153,0.75,0.6666666666666667,0.7058823529411764,0.015625
154,0.75,0.6666666666666667,0.7058823529411764,0.0
155,0.5294117647058824,0.5,0.5142857142857143,0.03125
156,0.75,0.6666666666666667,0.7058823529411764,0.0
157,0.5625,0.6,0.5806451612903225,0.015625
158,0.8888888888888888,0.8333333333333334,0.8602150537634408,0.0
159,0.6363636363636364,0.6666666666666667,0.6511627906976745,0.015625
160,0.5,0.6,0.5454545454545454,0.03125
161,0.9333333333333333,0.6666666666666667,0.7777777777777779,0.0
162,0.4285714285714286,0.5,0.46153846153846156,0.03125
163,0.48484848484848486,0.5,0.49230769230769234,0.0625
164,0.6875,0.6666666666666667,0.676923076923077,0.015625
165,0.75,0.6,0.6666666666666665,0.015625
