n°_evaluation,fitness,precision,f-measure,time
0,,,,0.015625
1,0.6363636363636364,0.6666666666666667,0.6511627906976745,0.0
2,0.44999999999999996,0.6,0.5142857142857143,0.0625
3,0.8181818181818181,0.6,0.6923076923076923,0.0
4,1.0,1.0,1.0,0.015625
5,0.42105263157894735,0.625,0.5031446540880503,0.015625
6,1.0,0.8,0.888888888888889,0.0
7,0.5714285714285714,0.8333333333333334,0.6779661016949152,0.0
8,0.4444444444444444,0.75,0.5581395348837209,0.015625
9,0.5,0.0,0.0,0.015625
10,0.46153846153846156,0.6666666666666667,0.5454545454545456,0.0
11,0.4444444444444444,0.0,0.0,0.015625
12,0.47058823529411764,0.75,0.5783132530120481,0.015625
13,0.5625,0.75,0.6428571428571429,0.0
14,0.35,0.0,0.0,0.015625
15,0.6,0.75,0.6666666666666665,0.015625
16,0.75,0.75,0.75,0.0
17,0.6363636363636364,0.6666666666666667,0.6511627906976745,0.0
18,0.6,0.75,0.6666666666666665,0.015625
19,0.33333333333333337,0.75,0.46153846153846145,0.015625
20,0.47058823529411764,0.75,0.5783132530120481,0.015625
21,0.4666666666666667,0.75,0.5753424657534245,0.0
22,0.47058823529411764,0.75,0.5783132530120481,0.015625
23,1.0,1.0,1.0,0.0
24,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.015625
25,0.7272727272727273,0.75,0.7384615384615384,0.0
26,0.4,0.5,0.4444444444444445,0.015625
27,0.8181818181818181,0.8571428571428572,0.8372093023255814,0.0
28,0.75,0.75,0.75,0.0
29,0.5294117647058824,0.8571428571428572,0.6545454545454547,0.015625
30,0.75,0.0,0.0,0.015625
31,0.7272727272727273,1.0,0.8421052631578948,0.015625
32,1.0,1.0,1.0,0.0
33,0.875,0.75,0.8076923076923077,0.0
34,0.47058823529411764,1.0,0.6399999999999999,0.015625
35,0.8888888888888888,1.0,0.9411764705882353,0.0
36,0.5454545454545454,0.6666666666666667,0.6,0.015625
37,0.4,0.75,0.5217391304347827,0.0
38,0.5333333333333333,0.75,0.6233766233766235,0.015625
39,0.4,0.5,0.4444444444444445,0.015625
40,0.47058823529411764,0.75,0.5783132530120481,0.0
41,0.5,0.75,0.6,0.015625
42,0.42105263157894735,0.5,0.45714285714285713,0.015625
43,0.7272727272727273,0.75,0.7384615384615384,0.0
44,0.6363636363636364,0.75,0.6885245901639345,0.015625
45,0.47058823529411764,0.75,0.5783132530120481,0.0
46,0.5833333333333333,0.75,0.65625,0.015625
47,0.8888888888888888,1.0,0.9411764705882353,0.0
48,0.375,0.5,0.42857142857142855,0.015625
49,0.4444444444444444,1.0,0.6153846153846153,0.0
50,0.75,0.75,0.75,0.015625
51,0.5,0.5,0.5,0.0
52,0.5,0.0,0.0,0.015625
53,0.5714285714285714,0.75,0.6486486486486486,0.0
54,0.7777777777777778,0.75,0.7636363636363638,0.015625
55,0.7272727272727273,0.75,0.7384615384615384,0.0
56,0.25,1.0,0.4,0.03125
57,0.4,0.6666666666666667,0.5,0.015625
58,0.47058823529411764,0.75,0.5783132530120481,0.0
59,0.34782608695652173,0.8,0.48484848484848486,0.03125
60,0.36363636363636365,0.75,0.48979591836734687,0.03125
61,1.0,1.0,1.0,0.015625
62,0.47058823529411764,0.75,0.5783132530120481,0.0
63,0.7272727272727273,1.0,0.8421052631578948,0.015625
64,1.0,1.0,1.0,0.0
65,0.5454545454545454,0.6666666666666667,0.6,0.0
66,0.8888888888888888,0.0,0.0,0.015625
67,0.36363636363636365,1.0,0.5333333333333333,0.015625
68,0.5384615384615384,0.75,0.6268656716417911,0.0
69,0.46153846153846156,0.6666666666666667,0.5454545454545456,0.015625
70,1.0,1.0,1.0,0.0
71,0.75,0.6666666666666667,0.7058823529411764,0.0
72,0.5454545454545454,0.6666666666666667,0.6,0.015625
73,0.7777777777777778,0.75,0.7636363636363638,0.0
74,0.33333333333333337,0.75,0.46153846153846145,0.015625
75,0.33333333333333337,0.5,0.4,0.015625
76,0.47058823529411764,0.75,0.5783132530120481,0.0
77,0.36363636363636365,0.75,0.48979591836734687,0.015625
78,0.8,1.0,0.888888888888889,0.015625
79,0.42105263157894735,0.75,0.5393258426966292,0.0
80,0.5714285714285714,1.0,0.7272727272727273,0.015625
81,0.47058823529411764,0.75,0.5783132530120481,0.015625
82,0.42105263157894735,1.0,0.5925925925925926,0.0
83,0.5,0.5,0.5,0.015625
84,0.5,0.75,0.6,0.0
85,0.4,0.75,0.5217391304347827,0.015625
86,0.6363636363636364,0.75,0.6885245901639345,0.015625
87,0.4444444444444444,0.6666666666666667,0.5333333333333333,0.0
88,0.5,0.75,0.6,0.015625
89,0.5333333333333333,0.75,0.6233766233766235,0.015625
90,0.5454545454545454,0.6666666666666667,0.6,0.0
91,0.5,0.75,0.6,0.015625
92,0.4444444444444444,0.0,0.0,0.0
93,0.6,0.5,0.5454545454545454,0.015625
94,0.22857142857142854,0.6666666666666667,0.34042553191489355,0.03125
95,0.75,0.6666666666666667,0.7058823529411764,0.0
96,0.7272727272727273,0.8333333333333334,0.7766990291262137,0.0
97,0.27586206896551724,0.6666666666666667,0.3902439024390244,0.03125
98,0.5,0.6666666666666667,0.5714285714285715,0.015625
99,0.4444444444444444,0.6,0.5106382978723405,0.0
100,0.8,0.8333333333333334,0.816326530612245,0.015625
101,0.5333333333333333,0.6,0.5647058823529412,0.0
102,0.4444444444444444,0.6,0.5106382978723405,0.015625
103,0.6153846153846154,0.6,0.6075949367088608,0.015625
104,0.42105263157894735,0.6,0.4948453608247421,0.046875
105,0.5714285714285714,0.6,0.5853658536585366,0.0
106,0.33333333333333337,0.6,0.4285714285714286,0.015625
107,0.3157894736842105,0.0,0.0,0.015625
108,0.5714285714285714,0.6,0.5853658536585366,0.0
109,0.31999999999999995,0.8333333333333334,0.4624277456647399,0.03125
110,0.5,0.6,0.5454545454545454,0.0
111,0.47058823529411764,0.5,0.48484848484848486,0.015625
112,0.4,0.8333333333333334,0.5405405405405406,0.015625
113,0.5,0.6666666666666667,0.5714285714285715,0.015625
114,0.4285714285714286,0.0,0.0,0.0
115,0.5333333333333333,0.8333333333333334,0.6504065040650406,0.015625
116,0.5333333333333333,0.5,0.5161290322580646,0.0
117,0.3076923076923077,0.5,0.380952380952381,0.015625
118,0.47058823529411764,0.8333333333333334,0.6015037593984962,0.015625
119,0.5,0.6,0.5454545454545454,0.015625
120,1.0,0.8333333333333334,0.9090909090909091,0.0
121,0.4444444444444444,0.6,0.5106382978723405,0.015625
122,0.6666666666666667,0.8333333333333334,0.7407407407407409,0.0
123,0.7272727272727273,0.8333333333333334,0.7766990291262137,0.015625
124,0.7272727272727273,0.6,0.6575342465753425,0.0
125,0.5333333333333333,0.6,0.5647058823529412,0.015625
126,0.7272727272727273,0.6666666666666667,0.6956521739130436,0.0
127,0.4,0.6666666666666667,0.5,0.015625
128,0.6666666666666667,0.8333333333333334,0.7407407407407409,0.0
129,0.4444444444444444,0.8333333333333334,0.5797101449275363,0.015625
130,0.6666666666666667,0.8333333333333334,0.7407407407407409,0.015625
131,0.42105263157894735,0.8333333333333334,0.5594405594405594,0.0
132,0.6153846153846154,0.6666666666666667,0.64,0.015625
133,0.47058823529411764,0.8333333333333334,0.6015037593984962,0.015625
134,0.8,0.8333333333333334,0.816326530612245,0.0
135,1.0,0.8333333333333334,0.9090909090909091,0.0
136,0.4444444444444444,0.6,0.5106382978723405,0.015625
137,1.0,1.0,1.0,0.0
138,0.75,0.6666666666666667,0.7058823529411764,0.015625
139,0.5,0.8333333333333334,0.625,0.0
140,0.24242424242424243,0.6666666666666667,0.35555555555555557,0.0625
141,0.47058823529411764,0.6,0.5274725274725275,0.015625
142,0.4444444444444444,0.8333333333333334,0.5797101449275363,0.015625
143,0.47058823529411764,0.6,0.5274725274725275,0.015625
144,0.8,0.8333333333333334,0.816326530612245,0.0
145,1.0,1.0,1.0,0.0
146,0.21621621621621623,0.6,0.31788079470198677,0.03125
147,0.47058823529411764,0.6,0.5274725274725275,0.015625
148,0.6153846153846154,0.6,0.6075949367088608,0.015625
149,0.2857142857142857,0.6,0.3870967741935483,0.015625
150,0.6,0.0,0.0,0.0
151,0.3076923076923077,0.5,0.380952380952381,0.03125
152,1.0,1.0,1.0,0.0
