n°_training,trace,places,transitions,arcs,ext_cardoso,trace_1,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15
0,100,20,18,48,20,"[3:3]('ER Registration', 'ER Triage', 'ER Sepsis Triage')","[5:4]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes')","[5:2]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP')","[6:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'LacticAcid', 'Leucocytes')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes', 'IV Liquid', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'LacticAcid', 'CRP', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'Admission NC', 'Release A')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes', 'LacticAcid', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'IV Antibiotics', 'IV Liquid')","[8:2]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'LacticAcid', 'Leucocytes', 'CRP', 'IV Liquid', 'IV Antibiotics')","[8:2]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'IV Liquid', 'IV Antibiotics', 'CRP', 'LacticAcid', 'Leucocytes')","[8:2]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'IV Liquid', 'CRP', 'Leucocytes', 'LacticAcid', 'IV Antibiotics')","[8:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'IV Liquid', 'IV Antibiotics', 'LacticAcid', 'Leucocytes', 'CRP')","[8:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'LacticAcid', 'IV Liquid', 'IV Antibiotics')","[8:1]('ER Registration', 'CRP', 'LacticAcid', 'Leucocytes', 'IV Liquid', 'ER Triage', 'ER Sepsis Triage', 'IV Antibiotics')"
1,106,18,19,46,18,"[3:4]('ER Registration', 'ER Triage', 'ER Sepsis Triage')","[4:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes')","[5:4]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes')","[5:2]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP')","[6:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'LacticAcid', 'Leucocytes')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes', 'IV Liquid', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'LacticAcid', 'CRP', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'Admission NC', 'Release A')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes', 'LacticAcid', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'IV Antibiotics', 'IV Liquid')","[8:3]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'LacticAcid', 'Leucocytes', 'CRP', 'IV Liquid', 'IV Antibiotics')","[8:2]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'IV Liquid', 'IV Antibiotics', 'CRP', 'LacticAcid', 'Leucocytes')","[8:2]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'IV Liquid', 'CRP', 'Leucocytes', 'LacticAcid', 'IV Antibiotics')","[8:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'IV Liquid', 'IV Antibiotics', 'LacticAcid', 'Leucocytes', 'CRP')","[8:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'LacticAcid', 'IV Liquid', 'IV Antibiotics')"
2,124,19,19,48,19,"[3:5]('ER Registration', 'ER Triage', 'ER Sepsis Triage')","[4:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes')","[5:4]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes')","[5:3]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP')","[6:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'LacticAcid', 'Leucocytes')","[6:1]('ER Registration', 'ER Triage', 'Leucocytes', 'LacticAcid', 'CRP', 'ER Sepsis Triage')","[7:2]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'LacticAcid', 'CRP', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes', 'IV Liquid', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'Admission NC', 'Release A')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes', 'LacticAcid', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'IV Antibiotics', 'IV Liquid')","[8:3]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'LacticAcid', 'Leucocytes', 'CRP', 'IV Liquid', 'IV Antibiotics')","[8:2]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'IV Liquid', 'IV Antibiotics', 'CRP', 'LacticAcid', 'Leucocytes')","[8:2]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'IV Liquid', 'CRP', 'Leucocytes', 'LacticAcid', 'IV Antibiotics')","[8:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'IV Liquid', 'IV Antibiotics', 'LacticAcid', 'Leucocytes', 'CRP')"
3,127,19,19,48,19,"[3:5]('ER Registration', 'ER Triage', 'ER Sepsis Triage')","[4:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes')","[5:4]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes')","[5:3]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP')","[6:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'LacticAcid', 'Leucocytes')","[6:1]('ER Registration', 'ER Triage', 'Leucocytes', 'LacticAcid', 'CRP', 'ER Sepsis Triage')","[7:2]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'LacticAcid', 'CRP', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes', 'IV Liquid', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'Admission NC', 'Release A')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes', 'LacticAcid', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'IV Antibiotics', 'IV Liquid')","[8:3]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'LacticAcid', 'Leucocytes', 'CRP', 'IV Liquid', 'IV Antibiotics')","[8:2]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'LacticAcid', 'Leucocytes', 'IV Liquid', 'IV Antibiotics')","[8:2]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'IV Liquid', 'IV Antibiotics', 'CRP', 'LacticAcid', 'Leucocytes')","[8:2]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'IV Liquid', 'CRP', 'Leucocytes', 'LacticAcid', 'IV Antibiotics')"
4,130,22,20,54,22,"[3:5]('ER Registration', 'ER Triage', 'ER Sepsis Triage')","[4:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes')","[5:4]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes')","[5:4]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP')","[5:1]('Leucocytes', 'CRP', 'ER Registration', 'ER Triage', 'ER Sepsis Triage')","[6:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'LacticAcid', 'Leucocytes')","[6:1]('ER Registration', 'ER Triage', 'Leucocytes', 'LacticAcid', 'CRP', 'ER Sepsis Triage')","[7:2]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'LacticAcid', 'CRP', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes', 'IV Liquid', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'Admission NC', 'Release A')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes', 'LacticAcid', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'IV Antibiotics', 'IV Liquid')","[8:3]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'LacticAcid', 'Leucocytes', 'CRP', 'IV Liquid', 'IV Antibiotics')","[8:2]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'LacticAcid', 'Leucocytes', 'IV Liquid', 'IV Antibiotics')","[8:2]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'IV Liquid', 'IV Antibiotics', 'CRP', 'LacticAcid', 'Leucocytes')"
5,135,20,19,50,21,"[3:6]('ER Registration', 'ER Triage', 'ER Sepsis Triage')","[4:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes')","[5:5]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes')","[5:4]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP')","[5:1]('Leucocytes', 'CRP', 'ER Registration', 'ER Triage', 'ER Sepsis Triage')","[6:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'LacticAcid', 'Leucocytes')","[6:1]('ER Registration', 'ER Triage', 'Leucocytes', 'LacticAcid', 'CRP', 'ER Sepsis Triage')","[6:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'Leucocytes')","[7:2]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'LacticAcid', 'CRP', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes', 'IV Liquid', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'Admission NC', 'Release A')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes', 'LacticAcid', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'IV Antibiotics', 'IV Liquid')","[8:3]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'LacticAcid', 'Leucocytes', 'CRP', 'IV Liquid', 'IV Antibiotics')","[8:2]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'LacticAcid', 'Leucocytes', 'IV Liquid', 'IV Antibiotics')"
6,143,14,17,40,15,"[3:6]('ER Registration', 'ER Triage', 'ER Sepsis Triage')","[4:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes')","[5:5]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes')","[5:4]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP')","[5:1]('Leucocytes', 'CRP', 'ER Registration', 'ER Triage', 'ER Sepsis Triage')","[6:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'LacticAcid', 'Leucocytes')","[6:1]('ER Registration', 'ER Triage', 'Leucocytes', 'LacticAcid', 'CRP', 'ER Sepsis Triage')","[6:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'Leucocytes')","[7:2]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'LacticAcid', 'CRP', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes', 'IV Liquid', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'Admission NC', 'Release A')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes', 'LacticAcid', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'IV Antibiotics', 'IV Liquid')","[8:3]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'LacticAcid', 'Leucocytes', 'CRP', 'IV Liquid', 'IV Antibiotics')","[8:2]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'IV Liquid', 'IV Antibiotics', 'LacticAcid', 'Leucocytes', 'CRP')"
7,144,20,19,50,21,"[3:6]('ER Registration', 'ER Triage', 'ER Sepsis Triage')","[4:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes')","[5:5]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes')","[5:4]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP')","[5:1]('Leucocytes', 'CRP', 'ER Registration', 'ER Triage', 'ER Sepsis Triage')","[6:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'LacticAcid', 'Leucocytes')","[6:1]('ER Registration', 'ER Triage', 'Leucocytes', 'LacticAcid', 'CRP', 'ER Sepsis Triage')","[6:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'Leucocytes')","[7:2]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'LacticAcid', 'CRP', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes', 'IV Liquid', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'Admission NC', 'Release A')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes', 'LacticAcid', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'IV Antibiotics', 'IV Liquid')","[8:3]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'LacticAcid', 'Leucocytes', 'CRP', 'IV Liquid', 'IV Antibiotics')","[8:3]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'LacticAcid', 'Leucocytes', 'IV Liquid', 'IV Antibiotics')"
8,147,20,19,50,21,"[3:6]('ER Registration', 'ER Triage', 'ER Sepsis Triage')","[4:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes')","[5:5]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes')","[5:4]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP')","[5:1]('Leucocytes', 'CRP', 'ER Registration', 'ER Triage', 'ER Sepsis Triage')","[6:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'LacticAcid', 'Leucocytes')","[6:1]('ER Registration', 'ER Triage', 'Leucocytes', 'LacticAcid', 'CRP', 'ER Sepsis Triage')","[6:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'Leucocytes')","[6:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'LacticAcid')","[7:2]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'LacticAcid', 'CRP', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes', 'IV Liquid', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'Admission NC', 'Release A')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes', 'LacticAcid', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'IV Antibiotics', 'IV Liquid')","[8:3]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'LacticAcid', 'Leucocytes', 'CRP', 'IV Liquid', 'IV Antibiotics')"
9,150,17,19,46,18,"[3:6]('ER Registration', 'ER Triage', 'ER Sepsis Triage')","[4:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes')","[5:5]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes')","[5:4]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP')","[5:1]('Leucocytes', 'CRP', 'ER Registration', 'ER Triage', 'ER Sepsis Triage')","[5:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Admission NC', 'Release A')","[6:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'LacticAcid', 'Leucocytes')","[6:1]('ER Registration', 'ER Triage', 'Leucocytes', 'LacticAcid', 'CRP', 'ER Sepsis Triage')","[6:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'Leucocytes')","[6:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'LacticAcid')","[7:2]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'LacticAcid', 'CRP', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes', 'IV Liquid', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'Admission NC', 'Release A')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'CRP', 'Leucocytes', 'LacticAcid', 'IV Antibiotics')","[7:1]('ER Registration', 'ER Triage', 'ER Sepsis Triage', 'Leucocytes', 'CRP', 'IV Antibiotics', 'IV Liquid')"
